affID	sortedName	fieldID	fieldName	bf_avejif	bf_avecitation	bf_avehindex	bf_avepapercnt	af_avejif	af_avecitation	af_avehindex	af_avepapercnt
135714990	jijun xiong	121332964	physics	0.0	25.8	4.6	14.0	0.0	67.6	10.4	16.2
139660479	chen xiaohong	41008148	computer science	0.011853832442067736	0.4	1.0	1.2	0.08069864463074086	0.8	1.2	4.6
139660479	chunhua yang	41008148	computer science	0.31299417269957475	10.2	2.0	18.6	1.1812301230477191	77.4	7.4	22.4
139660479	huaming yang	185592680	chemistry	1.693299138010461	82.8	9.4	6.4	3.428156812417838	440.6	22.4	19.8
139660479	luo xianghang	71924100	medicine	2.893472060634513	119.4	9.4	7.0	3.9119173786654153	281.2	20.0	4.0
139759216	ji yuefeng	41008148	computer science	0.0	0.6	0.2	3.6	0.17598941620289196	4.0	1.6	20.6
139759216	tao xiaofeng	127413603	engineering	0.2983897099996877	13.8	3.2	13.6	1.0570898172066971	78.2	8.4	21.4
141649914	chen yiwang	185592680	chemistry	0.0	165.4	11.8	28.4	0.0	554.2	28.4	25.0
143413998	shusheng zhang	185592680	chemistry	1.5032097090147025	122.8	7.4	50.2	4.166755587606591	761.4	30.6	5.2
143593769	feng qian	41008148	computer science	0.9036184288980541	2.2	0.4	5.6	0.9728131420370353	55.4	6.6	22.4
143593769	feng yaoyu	71924100	medicine	0.0	80.2	6.6	6.0	0.0	259.2	23.8	6.0
143593769	jiaping lin	185592680	chemistry	1.6476525429416604	23.2	3.8	7.2	3.2291972944118954	199.2	16.4	11.0
143593769	linyong zhu	185592680	chemistry	0.0	51.2	4.0	4.0	0.0	138.8	15.6	4.2
146620803	huang shaoming	185592680	chemistry	1.4944871135542546	10.6	2.6	3.8	4.470236126664022	519.4	16.4	19.6
148099405	wang yi	121332964	physics	0.0	0.0	0.0	1.6	0.0	25.4	5.4	5.0
149594827	jiao licheng	41008148	computer science	0.43992402866956715	2.8	1.2	11.0	0.7047702845799002	128.8	7.4	58.8
149594827	li zhiwu	41008148	computer science	0.768977774702738	94.2	5.6	9.0	2.7324146523357564	437.2	21.6	10.4
149594827	yang yintang	127413603	engineering	0.5006972065447288	1.6	0.6	11.8	0.593325268600901	50.2	4.8	43.6
151075929	huang yuesheng	185592680	chemistry	0.301949860724234	3.2	2.8	0.4	0.5422108294121778	4.2	4.2	1.6
151075929	jiang jianxin	71924100	medicine	0.14615384615384613	8.8	2.2	0.8	1.6120362021835941	15.2	3.8	4.2
151075929	liangming liu	71924100	medicine	0.8391281878770428	2.6	0.8	2.0	1.8564581813218055	23.2	5.0	9.0
151075929	yin zhengqin	71924100	medicine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
153473198	cui xiang	127413603	engineering	0.5407474355965527	1.8	1.0	3.8	0.499042091725336	25.2	4.8	13.4
154099455	chuansong wu	185592680	chemistry	0.0	0.0	0.0	0.0	0.0375	0.0	0.0	0.4
154099455	chunhong ma	71924100	medicine	0.0	125.4	10.8	7.0	0.0	135.4	24.6	4.6
154099455	hu xijun	33923547	mathematics	0.0	6.2	1.6	1.4	0.0	16.6	5.4	1.8
154099455	huaijin zhang	121332964	physics	1.5060543862187448	200.4	13.4	38.6	2.1274381511816	472.6	27.0	37.0
154099455	li yuezhong	185592680	chemistry	2.164223004592298	10.0	2.0	3.4	3.356118032307738	67.4	8.8	6.0
154099455	liu xiangfa	185592680	chemistry	0.5980849791890961	8.6	2.4	7.8	1.4879271483646637	83.4	7.4	13.4
154099455	liu yungang	127413603	engineering	0.7288149925554785	29.0	4.4	8.0	1.4231856727581493	91.0	12.4	14.8
154099455	liu zhanqiang	127413603	engineering	0.0	29.4	5.4	14.4	0.0	135.2	14.8	22.0
154099455	longwei yin	185592680	chemistry	2.3398583321754165	60.0	7.0	3.4	4.107193394109315	275.2	18.0	11.0
154099455	shishen yan	121332964	physics	1.4447005832701243	40.0	5.0	11.0	2.885314651230643	228.6	17.0	17.8
154099455	si zongguo	121332964	physics	2.375979649659916	69.6	9.2	4.0	1.7635129280801956	83.2	14.0	3.4
154099455	yuzhong zhang	185592680	chemistry	2.3206881066222964	43.0	5.2	9.6	3.455365579221039	309.4	19.2	17.0
156144747	daping yang	71924100	medicine	0.0	0.0	0.0	0.0	0.8744981303781489	1.4	0.6	1.2
157773358	chen hao	71924100	medicine	0.6357143569635341	2.2	1.8	2.6	0.6420314076360669	6.8	3.0	0.6
157773358	chen wen	71924100	medicine	0.6723636608531871	0.6	0.2	1.4	3.6948723581501866	54.0	7.2	7.0
157773358	chengxin wang	185592680	chemistry	1.5947363924443894	14.0	5.8	0.4	6.793786294087555	203.2	13.8	12.4
157773358	dan xie	71924100	medicine	3.5995594684326577	162.6	11.6	16.4	3.9013664076347645	661.8	31.4	23.4
157773358	deng shaozhi	185592680	chemistry	1.7832874774548082	79.0	6.8	8.8	2.222578866516607	234.4	16.8	13.4
157773358	fan wang	41008148	computer science	1.5716335054630943	17.2	2.6	3.0	2.2450262378728905	90.2	8.4	2.6
157773358	fan zhong	121332964	physics	0.2656608328304164	2.8	2.2	0.2	0.6951298746221417	6.2	3.2	1.2
157773358	gangfeng ouyang	185592680	chemistry	5.005651009236031	143.0	11.0	8.2	4.574748604439932	486.2	28.2	16.8
157773358	gu jieruo	71924100	medicine	0.0	0.0	0.0	0.2	0.6499145192250821	1.0	0.8	1.6
157773358	guo xianping	33923547	mathematics	0.6972496040732566	25.4	5.0	4.6	1.0569482861100141	66.6	11.6	6.4
157773358	he mingguang	71924100	medicine	2.5217561341519206	82.2	6.2	14.6	3.04349024157553	539.0	24.4	35.6
157773358	hongbin wang	185592680	chemistry	0.0	39.0	5.2	4.8	0.0	90.2	12.2	3.0
157773358	hongbing ji	185592680	chemistry	0.0	31.2	3.8	9.0	0.0	236.8	17.6	15.8
157773358	hu jianxun	33923547	mathematics	0.14597557771971026	3.0	1.4	0.6	0.35132765988531356	9.0	3.6	0.4
157773358	jia weihua	71924100	medicine	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.2
157773358	jingxuan pan	71924100	medicine	3.169874907144795	18.4	2.8	2.4	2.8736029540278922	133.4	12.6	3.4
157773358	lixin yan	33923547	mathematics	0.5477888345410087	4.8	2.4	3.0	0.9831000253573455	58.8	8.0	3.0
157773358	lu tongbu	185592680	chemistry	1.3027570109753661	27.8	5.2	5.8	2.5295752937257734	222.2	15.4	8.6
157773358	mao zongwan	185592680	chemistry	0.8440829777790183	20.6	4.0	2.6	2.6440681681750817	122.0	11.0	10.2
157773358	peng xiang	71924100	medicine	0.0	46.2	5.2	4.8	0.0	44.4	12.0	1.6
157773358	qiang zhang	127313418	geology	0.0	74.0	7.0	13.0	0.0	253.8	21.8	10.6
157773358	qingjiong zhang	86803240	biology	1.2314444444444443	3.2	2.2	2.6	3.18054860911302	125.8	10.6	13.8
157773358	qiu rongliang	185592680	chemistry	1.8458345973189652	49.6	5.4	9.2	3.4416748502034835	424.2	22.4	13.8
