JQ_affiliationID	JQ_sortedName	CO_authorID	Ki	Kj	Kij	flag	CII
3923682	feng yan	2144125935	61	25	3	1	0.0019672131147540984
3923682	feng yan	2120775829	61	29	1	1	0.0005652911249293386
3923682	feng yan	2125518773	61	17	3	1	0.0028929604628736743
3923682	feng yan	2040650204	61	5	5	1	0.01639344262295082
3923682	feng yan	2163016796	61	10	1	1	0.001639344262295082
3923682	feng yan	2304596509	61	47	1	1	0.0003487966515521451
3923682	feng yan	2129005180	42	14	14	0	0.023809523809523808
3923682	feng yan	2444403714	42	3	3	0	0.023809523809523808
3923682	feng yan	2514975842	42	34	1	0	0.0007002801120448179
3923682	feng yan	2097484324	42	2	1	0	0.011904761904761904
3923682	feng yan	2742843974	42	2	2	0	0.023809523809523808
3923682	feng yan	2161658700	42	21	1	0	0.0011337868480725624
3923682	feng yan	2170079853	42	22	1	0	0.0010822510822510823
3923682	feng yan	2144125935	42	14	1	0	0.0017006802721088435
3923682	feng yan	2120775829	42	229	1	0	0.0001039717196922437
3923682	feng yan	2125518773	42	6	2	0	0.007936507936507936
3923682	feng yan	2040650204	42	1	1	0	0.023809523809523808
3923682	feng yan	2163016796	42	8	3	0	0.008928571428571428
3923682	feng yan	2304596509	42	92	1	0	0.0002587991718426501
3923682	zhiyuan zhong	2435207232	50	11	10	1	0.01818181818181818
3923682	zhiyuan zhong	2120941953	50	146	16	1	0.002191780821917808
3923682	zhiyuan zhong	2104988258	50	1	1	1	0.02
3923682	zhiyuan zhong	2117525889	50	8	1	1	0.0025
3923682	zhiyuan zhong	2115034244	50	39	35	1	0.017948717948717947
3923682	zhiyuan zhong	2708425860	50	8	1	1	0.0025
3923682	zhiyuan zhong	2152122982	50	40	1	1	0.0005
3923682	zhiyuan zhong	2015559494	50	6	6	1	0.02
3923682	zhiyuan zhong	2105738054	50	4	4	1	0.02
3923682	zhiyuan zhong	2105036590	50	22	21	1	0.019090909090909092
3923682	zhiyuan zhong	2634857711	50	1	1	1	0.02
3923682	zhiyuan zhong	2116478958	50	4	3	1	0.015
3923682	zhiyuan zhong	2133063663	50	57	2	1	0.0007017543859649122
3923682	zhiyuan zhong	2232585042	50	1	1	1	0.02
3923682	zhiyuan zhong	2617930003	50	1	1	1	0.02
3923682	zhiyuan zhong	96735635	50	187	1	1	0.000106951871657754
3923682	zhiyuan zhong	2784126524	50	4	4	1	0.02
3923682	zhiyuan zhong	2098923967	50	9	8	1	0.017777777777777778
3923682	zhiyuan zhong	2435207232	96	6	6	0	0.010416666666666666
3923682	zhiyuan zhong	2120941953	96	33	18	0	0.005681818181818182
3923682	zhiyuan zhong	2104988258	96	16	16	0	0.010416666666666666
3923682	zhiyuan zhong	2117525889	96	3	3	0	0.010416666666666666
3923682	zhiyuan zhong	2115034244	96	93	85	0	0.009520609318996415
3923682	zhiyuan zhong	2708425860	96	90	4	0	0.000462962962962963
3923682	zhiyuan zhong	2152122982	96	19	3	0	0.001644736842105263
3923682	zhiyuan zhong	2015559494	96	68	68	0	0.010416666666666666
3923682	zhiyuan zhong	2105738054	96	10	3	0	0.003125
