fxID	minYear	assumeAwardYear
51151	1997	2005
61625	1981	2003
84293	2005	2010
45156	2002	2012
39510	2002	2011
87557	2003	2009
39528	2004	2010
45577	1998	2011
34977	2002	2010
45598	2004	2012
36671	2002	2008
48436	2002	2009
83974	2004	2011
23926	2001	2006
8341	1998	2005
10371	2006	2012
46513	2004	2010
54918	1991	2003
97011	1985	2008
90083	2003	2008
96629	1998	2012
4472	2007	2012
51371	2003	2008
23161	1994	2004
10430	1988	2001
76977	1991	2001
11311	2003	2009
36015	1999	2009
62742	2003	2009
70160	2000	2006
38579	2007	2012
96837	1988	2009
60413	1996	2011
28334	1998	2011
10710	2004	2011
63368	2004	2009
40820	2007	2012
41214	2003	2011
12441	2004	2011
52924	2002	2011
4411	2007	2012
52109	2004	2011
99552	1992	2003
76521	2006	2012
92415	2005	2011
19443	1987	2011
28439	2005	2012
55786	2004	2010
13709	2007	2012
23125	1999	2004
19853	1992	2004
21497	2002	2011
23984	2004	2009
53783	1995	2012
6071	2004	2011
29745	2003	2012
55801	1996	2010
3219	1996	2012
40949	1985	2002
26538	1985	2002
10488	2005	2011
20410	1999	2006
6206	1994	2012
17111	1998	2007
2959	1997	2005
73739	2005	2012
49344	2005	2010
83684	1988	2006
21193	2003	2011
73803	2003	2011
29856	2001	2008
69356	2007	2012
71769	2002	2010
8542	2002	2009
45887	2006	2011
76774	2003	2009
37368	1986	2001
78816	2005	2010
45504	2001	2012
55594	2006	2011
52397	2000	2006
71843	2003	2011
57269	2004	2010
19293	2000	2008
2621	2003	2011
665	1991	2004
59634	2001	2008
50815	2007	2012
23435	1999	2011
30858	1998	2011
45204	1995	2004
7182	2006	2012
9234	2007	2012
77426	2001	2012
66852	1998	2012
7375	2002	2008
38959	2005	2012
31108	2002	2007
83368	2007	2012
93002	2006	2012
51515	1996	2003
43034	2004	2012
11015	2001	2006
35295	1999	2005
38203	1991	2007
66970	2006	2012
72290	1989	2009
18841	1996	2003
89163	2006	2012
97774	1999	2004
19779	1996	2005
41962	2007	2012
1146	1992	2001
58146	1993	2008
28397	2001	2010
8728	2005	2010
75309	1997	2005
60937	2004	2010
2747	1998	2011
42832	2001	2011
44024	2005	2012
1594	1987	2012
792	1990	2003
4443	2007	2012
21101	2006	2011
2769	1994	2005
97891	2006	2012
46128	1996	2007
30562	2005	2011
97519	2007	2012
44592	1996	2006
82916	2002	2010
23693	2006	2011
70953	1997	2005
7412	1985	2002
26220	1985	2008
97629	2006	2012
43438	2000	2010
47926	2004	2010
67827	2002	2009
91867	1987	2012
25115	1985	2008
71869	2003	2008
68276	2004	2010
29590	1992	2010
11557	2004	2009
38262	2006	2012
1504	2004	2012
60081	2006	2012
98233	2006	2012
99052	2003	2009
42352	2001	2007
1523	1999	2011
57716	1993	2000
72808	1998	2003
53298	1998	2006
1142	1981	2003
73635	2000	2005
29262	2003	2011
35051	2005	2012
89266	1996	2010
40450	1993	2010
4819	1998	2004
80740	2003	2009
3205	2006	2012
97531	2003	2008
100510	2001	2010
57105	1996	2011
93304	2002	2009
7678	2002	2009
61858	1998	2008
97103	2002	2010
14217	1996	2006
23643	1997	2008
4535	1990	2004
22009	2002	2007
70568	2006	2011
87819	1981	2001
83820	2005	2011
32440	1995	2008
18805	1997	2002
47585	1998	2011
69455	2004	2009
78442	2002	2008
82160	2004	2011
88704	1998	2012
54816	2004	2011
8275	2000	2011
3951	1994	2006
77277	2005	2011
54100	2002	2007
98806	2000	2006
88920	1996	2001
49751	1992	2003
45344	2002	2011
71274	1986	2002
83259	1988	2000
87391	1992	2010
45414	2002	2008
14560	1988	1995
30575	1995	2012
20345	2004	2010
50224	2003	2010
2114	2000	2010
23256	1994	2005
24984	1997	2007
50712	2005	2012
7061	2004	2012
93681	1996	2005
95130	1999	2008
22943	2005	2010
56005	1989	2012
8595	1992	2006
85945	1992	2002
36619	2006	2011
88285	2005	2010
21391	2000	2006
40368	1992	2008
58103	1995	2000
86395	2007	2012
57701	1996	2002
5575	1990	2001
37899	2000	2008
83141	2000	2010
69551	1998	2012
3979	2002	2008
93622	2004	2011
63399	2007	2012
25636	2007	2012
54123	1994	2000
13304	2005	2012
52952	2006	2012
40907	1994	2002
53780	2007	2012
100874	2006	2011
60616	1996	2008
57074	2006	2012
58229	2002	2007
87330	2004	2009
66420	2006	2011
42992	1988	2009
43416	1995	2005
7411	2005	2012
84210	2006	2011
76325	1994	2001
26256	2005	2010
79620	1996	2009
46748	1994	2001
12286	1990	2008
75551	2005	2012
12305	2006	2011
31207	1988	2001
18414	1999	2012
77223	2006	2012
99067	1999	2005
32964	1990	1999
87956	2002	2012
4755	1997	2006
96548	2001	2006
29651	2000	2009
55314	2004	2011
78545	2002	2012
17751	1980	2003
35489	1999	2005
47724	2005	2010
14541	2006	2011
89723	1996	2001
78597	2002	2011
57039	1995	2004
57441	1999	2011
54979	2002	2008
67642	1994	2007
55000	1999	2007
60267	1999	2009
59074	1987	2011
57892	2001	2006
68118	2005	2012
22005	1997	2011
100205	2005	2011
30329	1998	2006
28659	1987	2009
83451	1996	2004
78839	1990	2002
25500	1998	2005
82130	2006	2011
24229	1981	2001
79254	2002	2012
89933	2000	2005
8611	1989	2001
41882	2003	2011
48769	2003	2010
81776	2007	2012
37013	2004	2012
45176	1999	2007
75222	1996	2005
34143	1999	2012
1512	1985	2008
15605	1991	2006
5954	2007	2012
32111	1997	2005
96115	2005	2011
62540	2007	2012
81844	1993	2000
88805	2002	2010
24345	2004	2009
50875	1987	2003
86070	2001	2012
67542	2005	2012
59771	2005	2010
84432	2005	2011
70815	2005	2011
13341	2003	2011
12914	2004	2012
8393	2005	2010
95404	2007	2012
26095	1990	1996
91694	2000	2007
55842	2005	2012
100943	2007	2012
84122	2006	2012
48629	1998	2006
93431	2005	2011
31135	2004	2011
94723	2003	2011
73899	1999	2004
37377	2007	2012
75985	1981	2003
83094	2003	2009
15600	1998	2012
36243	2000	2007
299	1996	2008
96157	2001	2010
3143	2003	2010
68403	2000	2005
23093	1999	2005
72868	2002	2011
47728	2005	2011
80661	2005	2011
76148	1990	2002
27654	1991	2011
7653	1985	2008
51349	2007	2012
15339	1995	2010
100884	2007	2012
27682	2002	2009
68868	2005	2011
60239	2006	2011
45757	2006	2011
41727	2002	2008
98453	1995	2005
33190	1999	2012
57600	1999	2006
88234	2007	2012
101842	1991	2003
31188	1987	2011
37378	1996	2005
48730	1992	2008
94770	2005	2010
14374	2002	2007
48361	1988	2003
21356	2003	2010
77211	1996	2010
64579	1991	2003
86781	1992	2006
78891	2006	2011
59667	2006	2012
48386	2001	2007
39543	2005	2011
1922	1994	2000
77664	1994	2011
95299	2005	2011
34620	1997	2009
