affID	sortedName	awardYear	fieldID	fieldName	bf_avejif	bf_avecitation	bf_avehindex	bf_avepapercnt	af_avejif	af_avecitation	af_avehindex	af_avepapercnt
19820366	chen chuanfeng	2006	185592680	chemistry	1.0804339817097748	17.4	3.0	6.6	2.394356696564984	257.8	16.0	16.0
191208505	jiang yunbao	2004	185592680	chemistry	0.9790428225556604	14.8	4.6	3.8	1.495057325536595	89.6	10.2	4.2
19820366	huimin ma	2005	185592680	chemistry	1.137668691965122	9.0	2.4	5.0	2.373377204217133	76.2	8.4	8.2
162868743	yingjin yuan	2004	185592680	chemistry	0.7761753489148987	6.8	2.0	6.6	1.7430418319291676	121.4	11.0	15.2
19820366	guo lianghong	2008	185592680	chemistry	2.008448386324744	33.6	7.4	4.2	2.9193787490607503	197.0	14.0	9.8
19820366	liu shuangjiang	2007	185592680	chemistry	1.8797745204883207	32.8	4.6	9.6	2.4276181621388337	230.0	16.2	12.2
99065089	yinping zhang	2007	185592680	chemistry	0.9505216260128644	23.4	4.0	7.6	2.118493599041856	261.8	16.2	11.0
126520041	guanwu wang	2001	185592680	chemistry	2.4513016101419924	4.8	2.2	2.0	0.9094017052367428	36.8	5.2	8.8
881766915	sun weiyin	2004	185592680	chemistry	0.7518392876262641	27.2	3.8	13.6	1.5550790284295506	223.8	16.0	13.2
59028903	geng meiyu	2007	185592680	chemistry	1.4184572115267686	7.8	1.4	4.2	1.3872438552654285	40.6	6.8	4.2
19820366	yihua zhou	2011	185592680	chemistry	4.715020692278676	77.0	6.2	2.4	5.205700725980911	201.0	16.2	3.0
90610280	li yuanyuan	2003	185592680	chemistry	0.0	1.4	1.2	0.2	0.4978299436349562	3.6	3.0	1.8
75390827	min wei	2012	185592680	chemistry	2.568687672445606	163.8	10.2	19.4	6.699092768222999	1358.8	35.6	29.4
19820366	chen hangrong	2012	185592680	chemistry	2.916654797565169	278.2	16.4	10.2	7.135919027330184	1127.0	36.4	20.0
19820366	fenghua li	2011	185592680	chemistry	2.36894937799796	28.2	4.2	4.4	3.1418972315488736	470.2	21.2	15.8
21193070	wang yongsheng	2008	185592680	chemistry	0.8667212417961145	18.2	3.4	11.6	1.4166464144815325	212.2	11.2	36.8
19820366	deqing zhang	2002	185592680	chemistry	0.4990784546196462	3.4	1.4	3.2	1.6327456710149817	150.8	10.0	23.8
19820366	li lin	2003	185592680	chemistry	2.5918548076313694	71.0	7.0	8.0	2.562220887591976	465.2	13.2	14.0
146620803	huang shaoming	2010	185592680	chemistry	1.4944871135542546	10.6	2.6	3.8	4.470236126664021	519.4	16.4	19.6
19820366	jingfu liu	2010	185592680	chemistry	2.4154917774087683	235.6	13.4	8.0	4.0340130937416765	650.4	28.6	14.0
205237279	linqi shi	2006	185592680	chemistry	0.8110654019631547	5.0	1.2	3.4	2.4704359970969456	158.2	11.6	10.4
19820366	gongli tang	2004	185592680	chemistry	2.9093809537206043	3.2	1.2	1.2	2.548062517978241	39.2	5.0	2.6
126520041	wenbin wu	2003	185592680	chemistry	0.7846662626014709	18.0	7.2	4.2	1.9692145077615897	28.6	9.6	3.2
20231570	guo xuefeng	2012	185592680	chemistry	5.500821204484688	105.0	8.0	5.6	8.001564077630944	455.2	25.8	12.8
9224756	jianhua wang	2007	185592680	chemistry	0.0	0.0	0.0	0.0	1.6593440676528668	3.4	0.8	0.4
20231570	yufeng zheng	2012	185592680	chemistry	0.20233236151603495	1.2	0.8	1.6	0.0	3.8	2.0	1.6
126520041	gong weimin	2002	185592680	chemistry	1.018646903763638	3.0	1.2	1.0	1.7222328178204789	13.8	3.6	1.0
19820366	ninghua tan	2007	185592680	chemistry	0.8405319875733663	6.0	2.4	3.4	1.1318269640177845	59.6	6.8	13.6
76130692	liu weiping	2002	185592680	chemistry	0.439689475652591	7.2	2.8	2.4	0.7388422724926127	33.6	6.6	6.4
108688024	xia yanzhi	2000	185592680	chemistry	0.0	0.0	0.0	0.0	0.5037108112665379	0.0	0.0	1.6
19820366	hu jinbo	2008	185592680	chemistry	1.0487180521655517	18.0	2.6	6.2	2.3705211676087954	253.4	15.0	18.4
19820366	yao zhujun	2004	185592680	chemistry	0.5126733500838491	2.4	1.0	1.4	1.1955700468887855	20.0	5.2	4.0
19820366	jiang tao	2010	185592680	chemistry	2.383248743837831	260.6	14.6	12.6	3.4384350296687147	708.2	32.2	18.2
99065089	lei liu	2012	185592680	chemistry	2.690632894672703	103.0	7.4	12.0	4.157550738202083	965.8	32.0	33.0
