fxID	minYear	maxYear
3088	2006	2017
3092	2006	2017
3095	2006	2018
3104	2006	2018
3115	1999	2017
3118	2003	2016
3120	2002	2015
3143	2003	2018
3146	2001	2013
3151	2003	2018
3153	2007	2018
3157	1997	2017
3163	2007	2018
3164	2007	2017
3167	2001	2013
3172	2005	2018
3174	1995	2018
3182	2006	2016
3184	2004	2015
3193	2000	2018
3205	2006	2017
3212	2006	2018
3215	1986	2018
3219	1996	2016
3224	1997	2018
3225	2006	2018
3269	1990	2016
3272	2005	2016
3276	2003	2018
3284	1988	2018
3291	1997	2017
3296	1998	2017
3307	1997	2018
3318	2005	2017
3328	2002	2017
3329	2003	2018
3334	1996	2015
3336	1988	2010
3340	2002	2016
3341	2006	2017
3342	1982	2016
3355	1999	2018
3370	2003	2016
3372	2005	2017
3374	2004	2017
3379	2007	2017
3382	1996	2016
3386	2007	2018
3389	2005	2018
3394	1998	2017
3396	1999	2018
3401	1987	2017
3402	2005	2017
3407	2005	2018
3415	2003	2017
3427	2006	2017
3447	2006	2017
3450	2007	2017
3454	2007	2017
3455	2003	2017
3456	1989	2018
3463	2006	2017
3464	1999	2018
3470	1994	2018
3475	1991	2015
3476	2004	2017
3479	2005	2017
3482	2003	2018
3495	1995	2016
3498	2006	2018
3502	2003	2017
3510	2006	2017
3524	1993	2018
3527	2007	2018
3529	2007	2017
3540	2002	2015
3541	2007	2017
3545	2004	2017
3548	2007	2018
3550	2007	2018
3562	2007	2018
3566	1996	2017
3574	2003	2018
3584	2004	2016
3609	2002	2018
3616	2000	2017
3620	1995	2018
3622	1987	2018
3623	1994	2017
3632	1998	2017
3639	2005	2016
3640	2007	2018
3654	2006	2018
3669	1984	2018
3672	2001	2012
3689	2003	2018
3695	1997	2017
3706	1989	2018
3709	1988	2006
3718	2004	2017
3723	1997	2018
3727	2007	2018
3742	2001	2017
3743	2007	2018
3747	2004	2018
3756	2000	2018
3769	1995	2018
3777	2004	2017
3796	1988	2005
3799	2004	2017
