affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
157773358	qiu rongliang	2012	185592680	chemistry	2002	2018
157773358	shuai xintao	2012	185592680	chemistry	2007	2018
157773358	wu zhongkai	2005	71924100	medicine	2000	2017
157773358	xiaopei yan	2001	162324750	economics	1994	2013
158842170	fusheng pan	2007	185592680	chemistry	1991	2018
158842170	yongxing zhang	2006	121332964	physics	1997	2013
158842170	zhang zongyi	2005	144133560	business	1993	2017
159948400	baiou guan	2012	121332964	physics	2000	2018
162868743	chunfeng wang	2002	144133560	business	1993	2018
162868743	denghua zhong	2005	127413603	engineering	1999	2018
162868743	he zhen	2012	127413603	engineering	2000	2018
162868743	jiang zhongyi	2011	185592680	chemistry	1994	2018
162868743	junan ma	2012	185592680	chemistry	2006	2017
162868743	li yali	2006	185592680	chemistry	1999	2016
162868743	yingjin yuan	2004	185592680	chemistry	1994	2018
163340411	chen wen	2011	121332964	physics	2006	2018
163340411	hongwu tang	2011	127313418	geology	2000	2018
163340411	ju ping	2007	127413603	engineering	1995	2018
16609230	guilin wen	2012	127413603	engineering	2005	2018
16609230	he yigang	2009	127413603	engineering	1998	2016
16609230	jiang jianhui	2010	185592680	chemistry	1995	2018
16609230	shuangchun wen	2010	121332964	physics	2003	2018
170215575	dou yong	2011	41008148	computer science	2005	2018
170215575	jianmin yuan	2000	121332964	physics	1988	2018
170215575	zhaowen zhuang	2000	127413603	engineering	1994	2018
17145004	hejun li	2002	185592680	chemistry	1997	2018
17145004	xiaopeng zhao	2000	121332964	physics	1988	2018
173759888	kuang leman	2003	121332964	physics	1993	2018
173759888	liu shaojun	2007	86803240	biology	1995	2017
173899330	chunpeng song	2006	185592680	chemistry	2000	2018
177933477	an huazhang	2008	71924100	medicine	2002	2017
177933477	cao guangwen	2010	71924100	medicine	1995	2017
177933477	jiang yuanying	2008	185592680	chemistry	1985	2018
177933477	qian qijun	2009	71924100	medicine	1997	2018
177933477	sun yinghao	2002	71924100	medicine	1996	2018
177933477	weiping zhang	2010	71924100	medicine	1995	2017
183067930	chen xianfeng	2011	121332964	physics	1987	2018
183067930	dong yi	2012	121332964	physics	2003	2018
183067930	dongmei xiao	2009	33923547	mathematics	2002	2017
183067930	fu yuxi	2002	41008148	computer science	1996	2017
183067930	guo minyi	2007	41008148	computer science	1997	2018
183067930	haiguang xu	2011	121332964	physics	1994	2017
183067930	he xianghuo	2011	71924100	medicine	2002	2018
183067930	hu weisheng	2008	121332964	physics	1996	2018
183067930	hu wenbin	2011	185592680	chemistry	1998	2018
183067930	huang qian	2003	71924100	medicine	1992	2017
183067930	huiying wu	2009	121332964	physics	2000	2018
183067930	jianguo li	2001	185592680	chemistry	1995	2018
183067930	li shaoyuan	2008	127413603	engineering	1999	2018
183067930	lin yi	2011	71924100	medicine	2000	2017
183067930	lu qinghua	2009	185592680	chemistry	1999	2017
183067930	nan shen	2010	71924100	medicine	1997	2018
