76214153	tian wenshou	2008	2012	4
76214153	fang xiaomin	1995	1999	4
19820366	wang zhiguang	1998	2001	3
19820366	guo zhengtang	1995	1997	2
19820366	shiping tian	2000	2002	2
19820366	lai yuanming	1998	2002	4
19820366	fan qinghua	1999	2003	4
76214153	王育华	2009	2009	0
19820366	guowang xu	2001	2004	3
189210763	li zhang	2000	2004	4
19820366	li sun	2006	2010	4
19820366	li qingjun	2001	2002	1
19820366	南发俊	2007	2007	0
16609230	guangyao li	2005	2006	1
37461747	chuangbing zhou	2004	2007	3
19820366	yang zhuliang	2002	2005	3
16609230	chaoqun ma	2004	2008	4
177933477	changquan ling	1998	2000	2
20231570	li xingguo	1996	2000	4
19820366	fang xiaohong	2000	2002	2
43337087	li zhengping	2005	2009	4
205237279	chen wei	1988	2014	26
154093214	halmurat upur	2004	2005	1
19820366	hu ruizhong	1996	1999	3
881766915	qing wan	2013	2014	1
19820366	ding zhongli	1991	1995	4
19820366	dexing zhang	1997	2000	3
19820366	pan shilie	1967	2014	47
19820366	hongfu zhang	1999	2002	3
19820366	贺怀宇	2013	2014	1
19820366	chen fukun	2001	2005	4
19820366	ge quansheng	2002	2006	4
19820366	yuhu zhang	1996	2000	4
19820366	wu yikang	1998	2000	2
19820366	li miao	1996	2000	4
19820366	xiaobing yuan	2002	2006	4
157773358	qin qiwei	2006	2007	1
19820366	nie pin	1997	2000	3
19820366	fan zusen	2002	2005	3
19820366	angsheng li	1999	2003	4
19820366	weijian zhou	1994	1997	3
19820366	wan weixing	1993	1995	2
19820366	luo zhenge	2006	2008	2
19820366	feng xueshang	1999	1999	0
27357992	dongming guo	2000	2003	3
19820366	chen xuelei	2005	2005	0
19820366	heping sun	1997	1999	2
19820366	wang yifang	1998	2002	4
19820366	hongfei wang	2001	2004	3
19820366	jiyao xu	1999	2002	3
19820366	pengjie zhang	2006	2010	4
19820366	jinming song	1996	1999	3
19820366	yuan yunbin	2002	2006	4
20231570	wu xuebing	2001	2005	4
19820366	nanlin wang	2000	2000	0
19820366	dajun zeng	2010	2010	0
115592961	chi zhang	2008	2009	1
19820366	李永旺	2006	2006	0
37987034	fan junhui	1997	2001	4
153473198	yang yongping	2006	2010	4
19820366	daming wei	1998	2002	4
99065089	ronghai yu	2005	2005	0
191208505	quanming wang	2010	2011	1
19820366	liu mofang	2009	2013	4
19820366	shikui zhai	1994	1996	2
20231570	junren shi	2010	2013	3
19820366	dai lanhong	2004	2007	3
126520041	feng wu	1986	2014	28
19820366	shiming tang	2001	2005	4
19820366	li xiaosen	2011	2012	1
115488153	mo zeyao	2001	2004	3
19820366	封松林	1999	2000	1
24943067	baohong liu	1914	2009	95
19820366	hong tang	1997	2000	3
19820366	lei lu	2006	2007	1
25757504	ge shirong	1900	2002	102
19820366	wang xiaoru	2002	2003	1
19820366	bing su	2004	2005	1
19820366	周天军	2008	2011	3
82880672	huiwen wang	1998	2001	3
20231570	kaile su	2007	2007	0
19820366	jin shan	2004	2004	0
19820366	renjie zhang	2000	2003	3
19820366	胡有洪	2009	2012	3
19820366	郑阳恒	2012	2014	2
115488153	jiang song	1998	2002	4
37461747	汪国平	2005	2009	4
126520041	junying zhang	1998	2001	3
19820366	cao mingkui	2004	2004	0
19820366	jinmin yang	2003	2007	4
19820366	郑海荣	2011	2013	2
191208505	fang taotao	2013	2015	2
19820366	李成	2010	2013	3
37461747	xicheng zhang	2010	2013	3
76569877	chunjie zhao	2005	2005	0
99065089	高喆	2011	2013	2
19820366	万宝年	2004	2007	3
19820366	hongbo hu	2006	2007	1
191208505	chenxu wu	2000	2002	2
20231570	jiajun wang	1987	2014	27
19820366	沈百飞	2008	2011	3
881766915	chaolin gu	1999	2000	1
19820366	杜世萱	2010	2013	3
139759216	fangchun yang	1997	2001	4
183067930	yaming zou	2001	2001	0
126520041	kaifu luo	2010	2012	2
20231570	cunbiao li	2003	2005	2
20231570	che qingming	1998	2002	4
27357992	qiu ruifeng	2004	2006	2
142108993	chengzhi huang	2000	2004	4
20231570	陈斌	2013	2013	0
20231570	郭弘	2010	2012	2
881766915	吕笑梅	2010	2012	2
37987034	jianshe yu	2005	2006	1
157773358	linsheng yin	2000	2000	0
47720641	deng shiming	2010	2014	4
183067930	胡卫生	2008	2008	0
9916479	bi feng	2001	2003	2
47720641	ning qin	2002	2002	0
47720641	谢庆国	2011	2014	3
183067930	guohua wan	2009	2011	2
183067930	shi zhong	1998	2002	4
194450716	junqi sun	2008	2012	4
16609230	文双春	2010	2010	0
