上海交通大学	Shanghai Jiao Tong University
华中科技大学	Huazhong University of Science and Technology
华侨大学	Huaqiao University
华北电力大学	North China Electric Power University
华南理工大学	South China University of Technology
南京农业大学	Nanjing Agricultural University
南京化工大学	Nanjing Tech University
南京医科大学	Nanjing Medical University
南京大学	Nanjing University
南京工业大学	Nanjing Tech University
南京理工大学	Nanjing University of Science and Technology
南京航空航天大学	Nanjing University of Aeronautics and Astronautics
南开大学	Nankai University, NKU
南方医科大学	Southern Medical University
南昌大学	Nanchang University
厦门大学	Xiamen University
吉林大学	Jilin University
吉林工业大学	Jilin University of Technology
同济大学	Tongji University
哈尔滨医科大学	Harbin Medical University
哈尔滨工业大学	Harbin Institute of Technology
四川农业大学	Sichuan Agricultural University
四川大学	Sichuan University
四川省医学科学院（四川省人民医院）	
国家人类基因组南方研究中心	CHGC
国家海洋局第三海洋研究所	Third Institute Of Oceanography, MNR
国家海洋局第二海洋研究所	Second Institute Of Oceanography, MNR
国家纳米科学中心	The National Center for Nanoscience and Technology
国家能源局南京水利科学研究院	Nanjing Hydraulic Research Institute
境与土壤研究所	Guangdong Institute of Eco-environmental Science & Technology
复旦大学	Fudan University
大连大学	Dalian University
大连理工大学	Dalian University of Technology
天津中医药大学	Tianjin University of Traditional Chinese Medicine
天津医科大学	Tianjin Medical University
天津大学	Tianjin University
太原理工大学	Taiyuan University of Technology
山东大学	Shandong University
山西师范大学	Shanxi Normal University
广州大学	Guangzhou University
成都理工大学	Chengdu University of Technology
扬州大学	Yangzhou University
新疆医科大学	Xinjiang medical university
暨南大学	Jinan University
材料国家纳米科学中心	The National Center for Nanoscience and Technology
杭州电子科技大学	Hangzhou Dianzi University
吉林工业大学	Jilin University of Technology
武汉大学	Wuhan University
武汉理工大学	Wuhan University of Technology
水利部交通运输部国家能源局南京水利科学研究院	
汕头大学	Shantou University
江南大学	Jiangnan University
江苏大学	Jiangsu University
江西农业大学	Jiangxi Agricultural University
河北医科大学	Hebei Medical University
河北大学	Hebei University
河北师范大学	Hebei Normal University
河南医科大学	Zhengzhou University
河南大学	Henan University
河南省农业科学院	Henan Academy of agricultural sciences
河海大学	Hohai University
浙江大学	Zhejiang University
浙江工业大学	Zhejiang University of Technology
浙江省农业科学院	Zhejiang Academy of Agricultural Sciences
深圳大学	Shenzhen University
清华大学	Tsinghua University
温州大学	Wenzhou University
湖南大学	Hunan University
湖南师范大学	Hunan Normal University
湘潭大学	Xiangtan University
燕山大学	Yanshan University
物理研究院总体工程研究所	China Academy Of Engineering Physics
电信科学技术研究院中国	
石家庄铁道学院	Shijiazhuang Tiedao University
石油大学（北京）	China University of Petroleum, Beijing
石油大学（华东）	China University of Petroleum
研究与发展中心	
福州大学	Fuzhou University
福建农林大学	Fujian Agriculture and Forestry University
苏州大学	Soochow University
西北农林科技大学	Northwest A&F University
西北大学	Northwest University
西北工业大学	Northwestern Polytechnical University
西北轻工业学院	Shaanxi University of Science and Technology
西南交通大学	Southwest Jiaotong University
西南师范大学	Southwest University
西南财经大学	Southwestern University of Finance and Economics
西安交通大学	Xi’an Jiaotong University
西安建筑科技大学	Xi’an University of Architecture and Technology
西安测绘研究所	
西安电子科技大学	Xidian University
郑州大学	Zhengzhou University
郑州航空工业管理学院	Zhengzhou University of Aeronautics
重庆医科大学	ChongQing Medical University
重庆大学	Chongqing University
长沙理工大学	Changsha University of Science Technology
青岛大学	Qingdao University
青岛科技大学	Qingdao University of Science and Technology
首都医科大学附属北京口腔医院	Capital Medical University
首都师范大学	Capital Normal University（CNUEF）
