affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
19820366	qingbai wu	2006	127313418	geology	1996	2018
19820366	qun yang	1997	127313418	geology	1992	2017
19820366	renbin zhan	2008	127313418	geology	1994	2017
19820366	shen shuzhong	2002	127313418	geology	1997	2018
19820366	shen yanan	2010	127313418	geology	1999	2010
19820366	sun weidong	2005	127313418	geology	1996	2018
19820366	tianjun zhou	2011	127313418	geology	2000	2018
19820366	tianxiang yue	2008	127313418	geology	2000	2018
19820366	wang xiangdong	2005	127313418	geology	1998	2018
19820366	wang xiaolin	2008	127313418	geology	1998	2017
19820366	wang xunming	2012	127313418	geology	2000	2018
19820366	wang yuesi	2005	127313418	geology	1998	2018
19820366	wang zifa	2012	127313418	geology	1995	2018
19820366	wenjiao xiao	2007	127313418	geology	1996	2018
19820366	wenzhi zhao	2011	127313418	geology	2002	2017
19820366	xianming xiao	2006	127313418	geology	1992	2017
19820366	xiaolin xiong	2008	127313418	geology	1998	2017
19820366	xiaoping yang	2004	127313418	geology	1994	2017
19820366	xunlai yuan	2006	127313418	geology	1996	2018
19820366	zhonghe zhou	2000	127313418	geology	1995	2018
20231570	chunjing wei	2005	127313418	geology	1989	2018
20231570	hu yongyun	2010	127313418	geology	2001	2017
20231570	shuguang song	2008	127313418	geology	1999	2018
204553293	gensheng li	2001	127313418	geology	1991	2018
25254941	li xiaoyan	2010	127313418	geology	2005	2018
25757504	jiachen wang	2006	127313418	geology	1995	2017
37461747	dianqing li	2012	127313418	geology	2005	2018
37461747	shaodong zhang	2008	127313418	geology	2001	2018
59028903	liu sumei	2009	127313418	geology	1997	2018
65081225	hailong li	2010	127313418	geology	2001	2018
65081225	jinnan tong	2003	127313418	geology	1997	2017
65081225	liu yongsheng	2011	127313418	geology	2000	2018
65081225	zhang zhaochong	2009	127313418	geology	1998	2018
76130692	chen renpeng	2012	127313418	geology	2000	2018
76214153	baotian pan	2009	127313418	geology	1993	2018
76214153	yan zhao	2011	127313418	geology	2006	2016
881766915	bin shi	2002	127313418	geology	1995	2018
881766915	ji junfeng	2006	127313418	geology	1992	2018
881766915	xiuqun yang	2004	127313418	geology	1996	2018
9086337	liang weiguo	2012	127313418	geology	2005	2017
