	H	L	M	S1	S2	S3	aveCitationCnt	aveH-Index	aveJIF	avePaperCnt	award
2585669862	0	1	0	0	0	0	14.6	9.6	5.9171428234463255	2.2	0
2490701366	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2171955601	0	1	0	0	0	0	79.61966507177033	13.0	1.2112425839329553	7.8	0
2439877570	0	1	0	0	0	0	6.2	8.2	2.1610329066230944	0.6	0
2108034294	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2125009864	0	1	0	0	0	0	28.0	5.0	0.14054054054054055	0.2	0
2140420991	0	1	0	0	0	0	4.733333333333333	3.8	0.5210680382840549	3.2	0
2135098536	0	1	0	0	0	0	0.5657894736842105	0.8	0.19473233643880566	4.8	0
2110707874	0	0	1	0	0	0	3.401948051948052	17.0	2.735785708888309	13.2	0
2593542062	0	1	0	0	0	0	2.6890909090909094	4.8	2.028917792340229	7.8	0
2129840949	0	0	1	0	0	0	15.353921568627452	24.2	1.9072484536235168	13.0	0
2121215760	0	1	0	0	0	0	0.0	7.0	0.0	0.0	0
2167911662	0	0	1	0	0	0	5.1875816993464055	13.0	2.2885052946009194	8.8	0
2669630631	0	1	0	0	0	0	5.954285714285715	9.0	4.118701181633198	4.2	0
2171054309	0	1	0	0	0	0	5.216666666666667	9.6	0.8630297592711618	2.4	0
2096072814	0	1	0	0	0	0	13.8	0.2	1.1086317959288845	0.4	0
2096300312	0	1	0	0	0	0	46.02333333333333	19.8	3.0794313912353424	7.2	0
2119763375	1	0	0	0	0	0	18.142893772893775	49.8	3.7706823948616015	9.8	0
2137005904	0	1	0	0	0	0	13.8	7.2	3.4080959514245577	1.4	0
2059994571	0	1	0	0	0	0	17.06666666666667	5.0	1.0717710606379829	2.6	0
2147468748	0	1	0	0	0	0	24.609523809523807	16.8	4.2918512234528485	6.2	0
2643812006	0	1	0	0	0	0	51.46666666666666	4.8	1.4450789956230616	2.6	0
2623618940	0	1	0	0	0	0	1.1	1.6	0.0	0.8	0
1637265637	0	0	1	0	0	0	4.1	6.0	1.7532540501699287	0.8	0
2096593387	0	1	0	0	0	0	13.697619047619051	10.4	1.5424114396096351	6.8	0
2317205900	0	1	0	0	0	0	16.45	1.4	0.632675954991287	1.2	0
2138730132	0	0	1	0	0	0	0.32	22.0	0.06882911234248554	1.0	0
2115096685	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2149890508	0	1	0	0	0	0	0.0	1.0	0.0	0.0	0
2599095413	0	1	0	0	0	0	11.333333333333336	3.8	1.2448929259280779	1.2	0
2529592301	0	1	0	0	0	0	10.316666666666666	3.0	0.5232729556207595	3.6	0
2177245446	0	1	0	0	0	0	15.6	0.6	0.6925768822905619	0.2	0
2464372715	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2223707507	0	1	0	0	0	0	0.0	4.0	0.0	0.0	0
