	aveCitationCnt	aveJIF	aveH-Index	avePaperCnt	L	M	H	award
(19820366, 'guo lianghong')	19.176515151502	2.9193787490607503	23.0	9.8	1	0	0	1
(99065089, 'yongfa zhu')	79.08166666668001	3.7876973000484617	61.4	17.6	0	0	1	1
(19820366, 'hong wu')	7.0483805668100015	4.113591084565663	26.4	13.0	0	1	0	1
(19820366, 'mei zhang')	4.690476190476	2.931595379021877	15.8	8.2	1	0	0	1
(19820366, 'liu minghua')	26.536190476199998	1.2255345074552992	15.0	7.6	1	0	0	1
(99065089, 'li shao')	9.016277056266599	2.922987264814482	21.0	7.0	0	1	0	1
(158842170, 'fusheng pan')	8.878586029012	1.07153819334248	19.4	41.8	0	1	0	1
(87445476, 'li shengtao')	20.183333333326	1.5655064483229986	12.6	13.0	1	0	0	1
(90610280, 'gang wei')	7.613636363639999	0.6572846803851824	12.2	15.4	0	1	0	1
(205237279, 'jianguo tian')	7.842857142855999	1.017206611623484	8.2	10.2	1	0	0	1
(19820366, 'qie xiushu')	14.834285714267994	1.1007894551048465	10.8	5.8	1	0	0	1
(19820366, 'deng youquan')	35.99301587302	1.4598611817253968	28.4	12.4	1	0	0	1
(37461747, 'chen hua')	6.1765151515220005	0.3362133221493037	5.6	4.8	1	0	0	1
(881766915, 'gu shulin')	6.262857142855999	1.4811233292944443	17.0	8.8	0	1	0	1
(194450716, 'chen hong')	6.3460601631980005	0.6850405150707632	15.4	22.6	0	1	0	1
(19820366, 'liu yimin')	14.844459308817994	1.8858555287782903	24.4	13.8	0	1	0	1
(19820366, 'baolong shen')	6.2752380952380005	1.2214053749443878	13.4	6.4	1	0	0	1
(19820366, 'boqiang qin')	33.7967945439	1.6635634272538238	31.2	16.8	0	0	1	1
(19820366, 'yan yihua')	9.080000000001998	1.4285375417871429	13.4	9.0	0	1	0	1
(19820366, 'fengtang yang')	22.2	0.1	2.8	0.6	1	0	0	1
(19820366, 'wanhua zheng')	4.775151515151999	2.042852997095644	11.8	10.4	0	1	0	1
(881766915, 'sun weiyin')	32.331428571420005	1.5550790284295506	33.4	13.2	0	0	1	1
(19820366, 'jianmin wang')	33.83666666666	1.7984234815952014	7.0	2.8	1	0	0	1
(881766915, 'jilin zhou')	6.707936507936	4.551443737413625	12.4	7.0	1	0	0	1
(20231570, 'chen peng')	3.0	3.5518081308577023	3.6	1.4	1	0	0	1
(191208505, 'jiang yunbao')	26.86666666666	1.495057325536595	18.8	4.2	1	0	0	1
(9916479, 'han hua')	29.194139194146	3.297257487754009	14.0	8.0	1	0	0	1
(3923682, 'cao yongluo')	1.7666666666659998	0.6801504582755044	8.0	1.4	1	0	0	1
(204553293, 'gensheng li')	6.3666666666666005	0.25803106761064204	3.0	1.6	1	0	0	1
(19820366, 'xunhua zheng')	46.8	1.9944243457980864	26.8	9.0	1	0	0	1
(19820366, 'li liu')	14.042212531008	1.492757692387586	27.0	30.2	0	1	0	1
(99065089, 'liu yule')	24.49	2.642426327924545	12.2	4.8	1	0	0	1
(115488153, 'chen jing')	0.3794871794874001	0.0	10.0	7.8	0	1	0	1
(76130692, 'chen hongzheng')	19.3176190476	1.2534480289688954	19.2	15.6	1	0	0	1
(111599522, 'chen jian')	20.748477801279996	1.9606541129803028	20.2	37.2	1	0	0	1
(153473198, 'cui xiang')	4.012550607286	0.49904209172533603	10.2	13.4	1	0	0	1
(19820366, 'gang zhao')	15.389372822304	1.3875043124757604	25.6	31.8	0	0	1	1
(19820366, 'xianming xiao')	12.445238095246001	1.2850624964353128	20.4	7.8	0	1	0	1
(19820366, 'li shushen')	15.1768315508	1.236874261116804	17.8	16.4	1	0	0	1
(116953780, 'zheng zhong')	12.364285714288002	0.4644272234252324	6.4	4.8	1	0	0	1
(881766915, 'peng ruwen')	8.433571428572	1.846147622966168	13.6	11.8	0	1	0	1
(99065089, 'fuchun sun')	7.825248908523999	0.8433954660700618	22.6	25.8	0	1	0	1
(881766915, 'junjie zhu')	36.405479123039996	1.7709628006945688	43.0	31.6	0	1	0	1
(19820366, 'cheng li')	8.239643493753999	2.760814971200336	24.4	18.8	0	1	0	1
(881766915, 'ji junfeng')	29.34432900434	2.035953649631804	29.0	10.4	0	1	0	1
(19820366, 'li yongwang')	22.747359307340002	1.952259908287568	40.6	24.2	0	0	1	1
(19820366, 'min tan')	13.77621908544	1.141237038841935	27.0	36.4	0	0	1	1
(92403157, 'yue zhang')	46.093156459908	1.2317783193170273	12.0	15.2	1	0	0	1
(99065089, 'hongying hu')	16.193181818179998	2.730083913088582	26.0	14.6	0	1	0	1
(157773358, 'qingjiong zhang')	19.249557109554	3.1805486091130204	20.4	13.8	1	0	0	1
(183067930, 'huang qian')	15.525	1.066811274564038	8.6	5.4	1	0	0	1
(19820366, 'ninglian wang')	25.9488095238	1.5538337681655623	17.4	5.2	1	0	0	1
(19820366, 'gang su')	25.392539682547998	1.860652437038934	18.6	7.6	0	1	0	1
(19820366, 'ji yang')	10.022692307700002	1.997155954177772	13.2	10.2	0	1	0	1
(19820366, 'duan zhenhao')	64.63301587302001	1.869165364072249	11.4	6.2	1	0	0	1
(19820366, 'qun yang')	2.833333333334	0.6260591526778577	4.4	2.6	1	0	0	1
(20231570, 'chen dayue')	3.6	0.42503460971040347	3.4	1.2	1	0	0	1
(99065089, 'feng pan')	3.3	0.4878840717591549	4.4	2.6	1	0	0	1
(194450716, 'liu mingyuan')	12.192136752136	1.907071815157192	11.4	6.8	1	0	0	1
(205237279, 'pingchuan sun')	13.160606060620001	3.1442994576158028	25.0	10.8	0	1	0	1
(20231570, 'li weigu')	3.5833333333339983	0.5734428695910326	11.4	2.0	1	0	0	1
(881766915, 'hu yuefei')	12.007142857142	0.6586740351290659	13.0	3.8	1	0	0	1
(881766915, 'huicheng yin')	4.033333333334	1.073440683784942	10.6	3.4	1	0	0	1
(19820366, 'feng huang')	23.84340983532	2.4079333636974387	20.6	15.8	1	0	0	1
(19820366, 'jun xu')	10.781038259982	1.3765544551955406	28.4	61.4	0	1	0	1
(19820366, 'ping xie')	24.72624521074	1.1686019179229077	27.8	27.4	0	0	1	1
(19820366, 'dan wang')	20.139207317074	4.450701411579823	44.2	30.6	0	0	1	1
(19820366, 'lin yangting')	9.81	1.9862921622564127	6.8	4.4	1	0	0	1
(19820366, 'chen xilin')	18.51510989012	2.772361153453489	37.8	22.4	0	0	1	1
(19820366, 'huang qingming')	8.869288424834	2.046111071089828	32.8	26.8	0	0	1	1
(154099455, 'shishen yan')	12.669632040462	2.885314651230643	22.8	17.8	0	1	0	1
(19820366, 'gu hui')	4.36	1.4979782211951689	9.8	2.6	1	0	0	1
(126520041, 'ding zejun')	14.895555555556	0.9188269349607416	8.0	4.6	1	0	0	1
(19820366, 'hui wang')	9.616053643919999	3.2114340738678866	50.8	101.6	0	0	1	1
(19820366, 'shen xu')	19.180612044820002	2.29809483699284	30.6	23.0	0	1	0	1
(19820366, 'baochun huang')	73.1733333334	2.3562225282676463	16.0	3.6	1	0	0	1
(126520041, 'chen falai')	14.211904761893999	0.5787891455921716	13.0	5.6	1	0	0	1
(99065089, 'xuegong zhang')	35.28833333334	2.8379506630079985	22.8	9.6	0	1	0	1
(19820366, 'chaozhong li')	16.90714285714	1.4831617826185526	11.8	5.6	1	0	0	1
(19820366, 'huijun wang')	24.08222222222	0.7539013084896433	15.8	9.6	1	0	0	1
(99065089, 'meng yonggang')	7.529999999991999	1.1976939894932372	15.8	9.0	0	1	0	1
(19820366, 'xingjiang zhou')	4.76	0.313445400301111	5.2	2.6	1	0	0	1
(19820366, 'hu zhihong')	56.897777777799995	2.126119022970861	11.8	5.0	1	0	0	1
(19820366, 'chen zhiming')	27.057142857139997	0.6339314534667085	10.0	3.2	1	0	0	1
(76214153, 'baotian pan')	10.300317460308	2.0786230099248946	18.4	7.4	1	0	0	1
(158842170, 'zhang zongyi')	2.7197435897426003	0.2550632911392405	6.0	6.8	1	0	0	1
(881766915, 'limin zheng')	24.753659673660003	1.7282645554592442	28.2	10.8	0	1	0	1
(126520041, 'chen chusheng')	27.23636363636	1.7128555594835981	16.0	5.6	1	0	0	1
(90610280, 'shengli xie')	8.658441558432	0.5324948062012724	9.6	18.4	1	0	0	1
(20231570, 'huang jianbin')	29.3142929293	2.049381735473617	20.6	7.6	0	1	0	1
(47720641, 'jun wu')	3.976190476192	2.3416979900759824	18.8	10.8	0	1	0	1
(19820366, 'zhang zhongping')	49.8770562771	4.232520491573792	32.8	13.8	0	1	0	1
(24185976, 'chen yingchun')	11.007048393487999	2.5036797371289787	40.8	17.0	0	0	1	1
(19820366, 'wang yizheng')	58.96666666668001	3.864516291743205	6.0	2.4	1	0	0	1
(19820366, 'cheng zhaohua')	15.817564102566	1.1561244759038771	19.4	12.2	0	1	0	1
(25254941, 'fengshou zhang')	3.1953216374260003	1.2390249986590158	11.0	12.6	0	1	0	1
(157773358, 'lu tongbu')	41.485	2.5295752937257734	28.0	8.6	0	1	0	1
(19820366, 'jiang wan')	26.77647058824	1.3184854307575873	18.4	7.8	1	0	0	1
(19820366, 'jinsong zhang')	8.4427272727206	1.7498616773938096	13.8	6.4	0	1	0	1
(126520041, 'houqiang li')	6.6896546633398	2.146869645484574	27.6	25.2	0	0	1	1
(173759888, 'kuang leman')	4.729523809524	0.418848120566414	10.4	8.8	1	0	0	1
(19820366, 'ninghui sun')	13.964285714288001	0.6087814457564804	13.4	11.4	0	1	0	1
(19820366, 'guowei he')	8.342857142858	1.2797708521355111	6.2	4.2	1	0	0	1
(19820366, 'gao yu')	25.248290598284	3.0825071262682986	11.0	9.6	1	0	0	1
(19820366, 'jianggao mao')	15.26649477972	2.1727748667009115	38.4	20.6	0	0	1	1
(19820366, 'gao guangxia')	50.66666666665999	3.867884868350576	7.8	1.6	1	0	0	1
(19820366, 'guo guocong')	24.92507936508	1.4413175552932598	23.0	21.6	0	1	0	1
(19820366, 'hualin wang')	7.373128342246	2.806749654539717	22.8	10.6	0	1	0	1
(126520041, 'wenbin wu')	12.13333333334	1.9692145077615897	13.4	3.2	1	0	0	1
(99065089, 'huimin xie')	28.734553049298	1.321645493639505	15.4	12.4	0	1	0	1
(139759216, 'ji yuefeng')	0.6359288537542599	0.17598941620289196	2.8	20.6	1	0	0	1
(87445476, 'changjiu li')	15.498182957402001	1.6758190713896597	37.6	16.6	0	1	0	1
(154099455, 'si zongguo')	2.3785714285714	1.7635129280801956	15.0	3.4	1	0	0	1
(99065089, 'li yanmei')	21.32984126982	4.042105339778874	20.2	6.6	0	1	0	1
(191208505, 'xiaomei yan')	10.346666666660001	4.427310844156136	19.8	6.0	1	0	0	1
(881766915, 'hong yan')	13.464564879559994	3.5347082441746567	19.0	9.2	1	0	0	1
(24185976, 'liangang peng')	0.0	0.0	5.0	0.0	1	0	0	1
(20231570, 'liu peidong')	2.0	0.35417582417582416	4.0	0.8	1	0	0	1
(99065089, 'zhao zhengming')	3.851515151516	0.143952802359882	7.8	6.4	1	0	0	1
(162868743, 'chunfeng wang')	1.241666666668	0.0	3.8	6.2	1	0	0	1
(19820366, 'jiang zhu')	13.14464285714	1.0002193294163582	13.0	10.2	1	0	0	1
(19820366, 'wang yan')	4.4627923260722	2.9911985370715737	39.8	53.8	0	0	1	1
(19820366, 'jun yang')	2.8678613955706203	0.0	51.0	62.0	0	0	1	1
