	aveCitationCnt	aveJIF	aveH-Index	avePaperCnt	L	M	H	award
(24943067, 'shiming zhou')	4.3333333333334	0.9486266972107874	0.8	1.0	1	0	0	1
(205237279, 'bai chengming')	0.0	0.0	2.0	0.2	1	0	0	1
(52158045, 'liu zhiyong')	28.9	1.3180345001474034	10.4	1.2	1	0	0	1
(52158045, 'qiao shiyan')	21.18333333334	1.7775692733403154	15.8	7.0	1	0	0	1
(52158045, 'ni zhongfu')	23.121428571413997	3.063771471257408	27.0	8.6	0	1	0	1
(52158045, 'cui sheng')	0.0	0.0	3.0	0.0	1	0	0	1
(19820366, 'liu qingsong')	19.709765355422	3.310416138306992	29.2	17.6	1	0	0	1
(19820366, 'chengcai chu')	49.35214285714001	4.8887046225742	29.8	9.6	1	0	0	1
(19820366, 'chuanyou li')	57.9	3.122659490237884	12.0	3.4	1	0	0	1
(19820366, 'wang xiangdong')	11.3333333333334	0.7841669441669441	13.2	6.0	1	0	0	1
(19820366, 'dai xi')	28.667909933193997	3.7782114117374777	34.6	26.4	0	0	1	1
(19820366, 'suojiang zhang')	28.4560778046	1.6798109757818809	28.8	25.0	1	0	0	1
(19820366, 'wang yun')	3.4132142857142003	0.0	23.8	12.4	0	0	1	1
(19820366, 'yihua zhou')	13.7	5.205700725980911	20.4	3.0	1	0	0	1
(19820366, 'wang yuesi')	21.659228070180006	1.9481844778746595	30.4	23.4	0	1	0	1
(19820366, 'fu xiangdong')	79.3	4.758366130946311	9.0	2.8	1	0	0	1
(19820366, 'hailin wang')	19.79571428572	4.6876083612477055	26.0	14.0	0	1	0	1
(119454577, 'wenhua zhang')	58.733333333340006	3.762918207373565	12.4	1.6	1	0	0	1
(52158045, 'yaofeng zhao')	5.7	0.9062959029244334	2.6	1.0	1	0	0	1
(19820366, 'pan yongxin')	33.005714285699995	2.267053065527142	25.8	8.4	0	1	0	1
(19820366, 'chen fan')	12.2923809523802	4.588948418462149	25.6	4.0	0	1	0	1
(19820366, 'feng zhou')	15.649899682720001	4.155470983403147	51.8	37.8	0	0	1	1
(19820366, 'liu ming')	15.232670895004	1.9706076561035009	31.2	62.4	0	0	1	1
(19820366, 'hua xiang')	18.81428571428	3.7307333098854265	17.2	5.4	1	0	0	1
(157773358, 'deng shaozhi')	16.905238095234	2.222578866516607	28.8	13.4	0	1	0	1
(19820366, 'dali guo')	14.822727272726002	3.7128520954865607	14.2	7.0	1	0	0	1
(19820366, 'hu youhong')	5.0500000000080005	2.9171593235240136	17.0	8.2	0	1	0	1
(76130692, 'xudong ye')	5.1	0.6988013502648632	13.6	1.6	1	0	0	1
(12411659, 'gao xiumei')	9.284715778468	2.3185150726648667	24.2	24.4	0	1	0	1
(83519826, 'jiahao sha')	22.175	2.1927876707683915	15.2	11.8	1	0	0	1
(19820366, 'changsheng xu')	9.673202614380001	2.220802771619353	33.4	23.6	0	0	1	1
(40963666, 'changjiang zhu')	14.01547619048	0.9610701459465376	16.4	6.2	1	0	0	1
(19820366, 'chen duofu')	17.35833333332	1.663832001083931	12.8	5.2	1	0	0	1
(19820366, 'cai ronggen')	51.788922841879995	2.585839451008908	29.6	12.8	1	0	0	1
(19820366, 'liu xiaolong')	13.62	2.9759329082554538	17.0	7.0	1	0	0	1
(19820366, 'liu yun')	4.6147058823514016	2.7729434149529046	27.0	15.6	0	0	1	1
(19820366, 'li zhanting')	19.97777777776	1.4761019023053972	16.6	7.0	1	0	0	1
(19820366, 'pingheng tan')	37.978937728942	5.988509368885603	26.4	15.6	1	0	0	1
(141649914, 'chen yiwang')	4.857727272728	0.0	31.8	25.0	0	0	1	1
(19820366, 'xu zhiheng')	27.16095238094	3.2233451620640987	14.4	4.4	1	0	0	1
(19820366, 'chen shu')	1.3810256410253998	0.0	18.0	8.2	0	0	1	1
(19820366, 'li niu')	14.726814814826	5.205113750070388	48.8	20.0	0	0	1	1
(20231570, 'liping wei')	47.275	7.1470464446297575	22.4	5.0	0	1	0	1
(19820366, 'shi wensheng')	13.01682539684	3.5811599567305517	24.0	6.2	1	0	0	1
(24943067, 'feng qiu')	22.14583333334	2.985060916962525	22.0	10.4	1	0	0	1
(65081225, 'zhang zhaochong')	14.14582972582	2.314522188196352	23.0	14.4	0	1	0	1
(19820366, 'haijun zhou')	4.465686274510398	2.3892415761860164	15.0	12.2	0	1	0	1
(19820366, 'hongbin ji')	12.762424242423403	4.771708207370763	31.0	9.0	0	1	0	1
(19820366, 'guowen meng')	22.978181818179998	2.5043430023710256	25.2	7.8	0	1	0	1
(37461747, 'feng yuqi')	30.492559523800004	2.5380889883086306	39.4	23.8	0	0	1	1
(19820366, 'liu zhimin')	12.428080923569999	3.472312432256055	46.6	23.4	0	0	1	1
(37461747, 'lu xin')	12.242424242434002	1.5732151477547094	8.2	5.2	1	0	0	1
(19820366, 'chunyang li')	38.383116883119996	2.0833295686821	27.8	8.6	1	0	0	1
(99065089, 'wang xiaofeng')	6.9849999999999985	4.085481705454827	19.6	4.6	1	0	0	1
(24185976, 'jingsong you')	25.210076268239998	3.4754665539133027	41.8	27.2	0	1	0	1
(19820366, 'chungu xia')	21.488667434720007	1.7509917348019848	35.8	31.8	0	0	1	1
(19820366, 'dongsheng wang')	10.347986049762	2.5324464982450605	33.2	21.4	0	0	1	1
(157773358, 'mao zongwan')	22.72943722946	2.6440681681750817	20.0	10.2	1	0	0	1
(19820366, 'ninghua tan')	10.078030303024	1.1318269640177845	14.8	13.6	1	0	0	1
(191208505, 'chen min')	7.095555555560001	2.4072156318010958	15.8	9.2	0	1	0	1
(76214153, 'she xuegong')	6.765984848484	2.9387248559449177	20.8	12.8	0	1	0	1
(37461747, 'huang shuangquan')	14.979999999994002	3.084234805015406	14.0	3.8	1	0	0	1
(139660479, 'huaming yang')	13.350833333334	3.428156812417838	30.2	19.8	0	1	0	1
(183067930, 'hu wenbin')	12.165909090894	3.0002529591306506	26.2	8.0	0	1	0	1
(16609230, 'he yigang')	2.868074534162	0.5975375128408084	14.0	10.4	0	1	0	1
(4610292, 'huang yunqing')	11.285	1.0876463849539657	13.4	6.6	1	0	0	1
(19820366, 'shuli you')	26.429597069619998	3.435358810977694	53.2	36.0	0	0	1	1
(19820366, 'gangjian wei')	26.307272727199397	2.2071347752135133	28.8	9.8	1	0	0	1
(19820366, 'wang yilin')	14.73904483431	3.512543061176167	36.0	20.6	0	1	0	1
(19820366, 'gan zhihua')	11.200000000006002	2.6947845986179635	20.0	4.6	1	0	0	1
(19820366, 'linsheng song')	18.031028693520003	2.779168085418104	37.2	19.8	0	1	0	1
(19820366, 'ge wei')	7.001372701366	2.38818652278787	29.0	14.4	0	0	1	1
(19820366, 'ercang luo')	8.620000000000001	0.8817054336066186	13.4	2.8	1	0	0	1
(19820366, 'cheng jiangong')	4.2016666666679985	3.1816535525596548	16.0	4.6	1	0	0	1
(19820366, 'wang xiaolin')	32.190476190482	2.884384915569484	25.8	5.8	1	0	0	1
(19820366, 'gong jiming')	18.11666666666	4.236241070998952	12.0	2.0	1	0	0	1
(126520041, 'zhao zifu')	29.465	3.2414858662078934	42.0	5.8	0	1	0	1
(37461747, 'deyin guo')	11.685714285713999	3.1756826944602348	18.6	5.0	1	0	0	1
(65081225, 'jianwei li')	7.966336996326	2.4320317226293726	24.6	10.6	1	0	0	1
(19820366, 'chen yonghai')	6.598336304209999	1.301033400775917	11.0	12.8	1	0	0	1
(19820366, 'libo liu')	20.017272727276	2.196068694041597	30.4	21.6	0	1	0	1
(19820366, 'jifeng xu')	110.02	2.10638896753333	20.8	2.6	1	0	0	1
(19820366, 'deng hongyu')	1.55	2.0723490245710816	16.0	1.8	1	0	0	1
(19820366, 'xiaolin xiong')	8.946666666674002	1.2796442311899086	20.6	2.6	0	1	0	1
(19820366, 'ai yinshuang')	9.9	2.3999320797980155	9.8	1.0	1	0	0	1
(36399199, 'yonghao zhao')	5.962626262625999	2.4331026232368527	7.0	6.4	1	0	0	1
(19820366, '宋林生')	0.0	0.0	0.0	0.0	1	0	0	1
(881766915, 'jin zhu')	3.56	0.0	15.4	7.0	0	1	0	1
(19820366, 'li weixue')	0.8	1.3738925141042675	3.2	0.4	1	0	0	1
(126520041, 'ning xu')	5.4	3.43934685791268	8.8	4.8	1	0	0	1
(24943067, 'peiyi wu')	22.22192982458	1.6946030714248297	17.0	9.8	1	0	0	1
(183067930, 'fan tongxiang')	3.758639021804	0.0	32.0	8.2	0	0	1	1
(19820366, 'ceshi chen')	0.0	0.0	1.0	0.0	1	0	0	1
(20231570, 'gan shaobo')	1.6	0.3188573789215329	10.0	1.0	1	0	0	1
(99065089, 'wenming zou')	10.410256410248	0.9476635510252542	19.8	7.4	1	0	0	1
(76569877, 'baowen xu')	7.065994234602004	0.15253900471100068	18.6	20.8	0	1	0	1
(205237279, 'sun wenchang')	1.1333333333334	0.0	14.0	1.2	0	1	0	1
(28813325, 'renbiao wu')	27.477368421052	0.4170123880435633	11.8	11.0	1	0	0	1
(194450716, 'chen qijun')	28.640952380940004	3.550445101275377	19.6	4.2	1	0	0	1
(52158045, 'jianbo shen')	44.161904761920006	3.3832907763538587	21.0	8.2	1	0	0	1
(19820366, 'changzhi gu')	18.75504723347	2.71199098763536	27.6	20.2	0	0	1	1
(19820366, 'fei wang')	17.282460188892	3.0570228948982865	36.6	52.8	0	0	1	1
(27357992, 'qing yang')	1.5527125506081998	0.0	18.0	9.2	0	0	1	1
(40963666, 'guangfu yang')	11.617591036417995	2.1624722684358586	27.6	17.6	0	0	1	1
(76130692, 'lin qiang')	4.24	1.088002552214385	21.0	3.8	0	1	0	1
(76130692, 'bo feng')	11.84	3.755594891978082	22.8	7.0	0	1	0	1
(19820366, 'fuqiang huang')	27.728569670248	5.029700569612283	45.0	33.4	0	0	1	1
(76130692, 'gongyin ye')	6.65	1.922414724617776	18.8	3.2	1	0	0	1
(76130692, 'wang yizhen')	8.266363636364	2.0072885013007804	15.4	13.2	1	0	0	1
(116953780, 'jianzhuang xiao')	3.4580741360086003	1.3941333790655142	21.8	15.8	0	1	0	1
(99065089, 'liu min')	11.495691367456	2.1320218450403843	19.0	11.6	1	0	0	1
(19820366, 'chen dahua')	28.76666666668	9.177345006843623	12.8	3.2	1	0	0	1
(19820366, 'hui lijian')	15.321269841268	6.668954600128293	19.6	6.2	1	0	0	1
(139660479, 'chunhua yang')	4.90512218045	1.1812301230477191	13.4	22.4	0	0	1	1
(19820366, 'changchun song')	6.589660514922	2.7047150274534344	20.0	12.0	0	1	0	1
(19820366, 'haibin yu')	8.039267676760002	0.9092967654889808	11.4	9.4	0	1	0	1
(24943067, 'yuan zhenghong')	30.280714285720002	2.3332855329109985	18.0	7.4	1	0	0	1
(19820366, 'zhang zhitao')	1.1809523809524	0.8869873726012247	12.0	2.8	1	0	0	1
(90610280, 'huanfeng jiang')	16.54933477974	1.362057767871979	26.6	48.2	1	0	0	1
(126520041, 'qunke xia')	9.59047619048	3.069895391391152	16.0	3.4	1	0	0	1
(99065089, 'junhai yong')	9.589285714286	0.9996134467220286	15.6	11.2	1	0	0	1
(19820366, 'ma xucun')	27.055158419174	4.156594450379574	35.6	27.0	0	1	0	1
(19820366, 'jiajia liu')	6.093333333334	3.4236589767304086	8.8	2.4	1	0	0	1
(19820366, 'huang yongping')	18.68999999998	3.4210208783099696	21.2	7.0	0	1	0	1
(204553293, 'chunming xu')	20.336234063400003	1.3182387679108678	24.8	23.0	1	0	0	1
(19820366, 'genxu wang')	12.420000000006	2.0483881619067974	18.6	6.2	0	1	0	1
(19820366, 'jiuhong kang')	78.53333333340001	7.191517432447651	7.6	1.4	1	0	0	1
(191208505, 'qiao wu')	25.6	1.8908242197919445	8.4	0.8	1	0	0	1
(20231570, 'meng zhiyong')	1.3050000000000002	0.0	8.0	3.0	1	0	0	1
(19820366, 'xiangping zhang')	5.9937894736800015	0.0	30.8	14.6	0	0	1	1
(80947539, 'wang xinchen')	24.5730218855234	0.0	63.2	16.4	0	0	1	1
(19820366, 'ma yanwei')	19.659006919	2.6313601512518483	30.8	26.4	0	0	1	1
(19820366, 'gongli tang')	32.916666666679994	2.548062517978241	8.2	2.6	1	0	0	1
(24943067, 'huang zhili')	46.586666666659994	4.395742183645625	11.0	2.8	1	0	0	1
(191208505, 'liu xingjun')	9.634920634918	0.9708703583075956	6.4	9.0	1	0	0	1
(143593769, 'jiaping lin')	14.68813492064	3.2291972944118954	24.8	11.0	0	1	0	1
(24185976, 'weinian zhang')	8.177686202682	1.193617917029373	18.0	9.6	0	1	0	1
(99065089, 'yinping zhang')	32.72861111112	2.118493599041856	35.4	11.0	0	1	0	1
(183067930, 'xinyuan zhu')	32.775652504380005	5.086856029604951	39.2	22.4	0	1	0	1
(19820366, 'wang yanling')	21.436363636360003	3.4432073015444447	20.4	6.4	1	0	0	1
(881766915, 'daiqian xie')	15.953324808179998	2.2900936789815045	25.0	16.4	0	1	0	1
(39333907, 'li xiaoli')	7.7924242424240004	1.6030107194953047	21.6	6.0	0	1	0	1
(19820366, 'liu xiaojun')	4.7570664629440005	1.6561881605693003	11.0	11.0	1	0	0	1
(19820366, 'jiang liu')	1.8812121212119999	0.0	14.8	8.2	0	1	0	1
(19820366, 'qiwei zhai')	38.964444444440005	4.5187819347721385	18.8	5.6	1	0	0	1
(19820366, 'luo xiangang')	20.671076923079998	1.6973241166712292	27.4	20.0	0	1	0	1
(36399199, 'jian yang')	11.813176033168002	2.3294975254509724	35.0	31.4	0	1	0	1
(149594827, 'yang yintang')	3.2146258503400005	0.593325268600901	10.0	43.6	0	1	0	1
(19820366, 'an taicheng')	3.958333333332	0.0	37.0	16.2	0	0	1	1
(157773358, 'he mingguang')	7.4299662276300005	3.0434902415755296	33.6	35.6	0	0	1	1
(19820366, 'bixian mai')	53.216270504840004	2.4426544167700563	44.2	19.4	0	1	0	1
(19820366, 'ke lan')	1.89	0.0	20.0	4.6	0	1	0	1
(19820366, 'luo xiaodong')	3.892936507938	1.9207592892123824	23.0	11.0	0	0	1	1
(19820366, 'kang shichang')	11.0049018723264	2.9482324351397446	42.8	40.6	0	0	1	1
(20231570, 'shuguang song')	29.33888888888	2.377580273235348	27.6	7.8	1	0	0	1
(126520041, 'chen enhong')	5.495603407699598	1.6729342706568209	26.6	30.2	0	0	1	1
(126520041, 'deng zhaoxiang')	9.1	0.0	25.8	3.6	0	1	0	1
(19820366, 'degang zhao')	5.091428571428	1.2611827540164946	13.0	11.2	0	1	0	1
(183067930, 'li shaoyuan')	8.566892748815999	1.3925166875269337	24.2	23.6	0	0	1	1
(157773358, 'guo xianping')	5.405454545454	1.056948286110014	15.6	6.4	0	1	0	1
(19820366, 'baiqing xu')	25.347582972576	3.000329958814869	22.8	10.6	0	1	0	1
(19820366, 'gang huang')	4.367001114836	0.0	24.8	16.2	0	1	0	1
(19820366, 'long yaqiu')	4.997142857148	2.0519802125544944	18.0	4.6	0	1	0	1
(19820366, 'canzhong lu')	20.4780814215	1.5216320547946265	26.6	16.6	0	1	0	1
(19820366, 'jiang tao')	13.827355889720002	3.4384350296687147	42.4	18.2	0	0	1	1
(19820366, 'chonglin yang')	6.3	4.9392302977747455	8.8	1.4	1	0	0	1
(19820366, 'guohua zou')	19.2	1.080839582218295	8.8	4.4	1	0	0	1
(126520041, 'kong xu')	6.629170829174001	4.299170342010386	21.0	10.4	0	1	0	1
(19820366, 'guo jiandong')	4.811904761906	4.365204860991402	11.2	10.2	1	0	0	1
(19820366, 'hongwei xue')	58.60666666659999	4.462684397962193	13.6	4.8	1	0	0	1
(19820366, 'chang chen')	21.14	3.998518417924065	19.0	6.0	1	0	0	1
(19820366, 'shaojie wang')	5.75	1.0217910677825688	5.4	1.6	1	0	0	1
(19820366, 'fan hongrui')	14.93	0.8735134758594892	13.8	3.2	1	0	0	1
(19820366, 'hongmei su')	2.35	0.0	12.0	2.4	1	0	0	1
(19820366, 'chun hu')	13.443636363640001	3.6719003890067854	38.0	8.8	0	1	0	1
(19820366, 'ge maofa')	18.992780027014	2.5782446579519385	21.0	16.8	0	0	1	1
(20231570, 'renxin xu')	2.466666666666	1.3098775055830398	6.0	3.2	1	0	0	1
(19820366, 'chunming wu')	12.042857142858	3.614656457472812	13.0	4.6	1	0	0	1
(19820366, 'xu xudong')	6.496666666668	1.864826603623981	11.0	4.0	1	0	0	1
(19820366, 'fucheng zhang')	17.4	2.2308202199811618	32.0	0.6	0	1	0	1
(19820366, 'hua jiang')	14.938333333334	4.506689778570299	34.4	6.2	0	1	0	1
(183067930, 'lu qinghua')	20.75738095238	4.027980468619214	32.8	8.4	0	1	0	1
(19820366, 'shu yousheng')	11.5	4.923479252936793	6.2	1.4	1	0	0	1
(126520041, 'he lixin')	4.553333333334001	1.9708683539944567	11.0	7.2	1	0	0	1
(19820366, 'yongqing zhang')	21.8	1.4870024433539764	2.8	1.4	1	0	0	1
(191208505, 'lasheng long')	41.34190476192	3.984426593578817	30.4	11.6	0	0	1	1
(19820366, 'chuanjie zhu')	6.8	0.4185414091470953	13.0	0.8	1	0	0	1
(205237279, 'linqi shi')	20.905627705626	2.4704359970969456	25.0	10.4	1	0	0	1
(20231570, 'fuliu xu')	6.44166666666	0.7194483940275231	25.2	2.8	0	1	0	1
(19820366, 'shen yanan')	0.0	0.0	3.0	0.0	1	0	0	1
(19820366, '刘青泉')	0.0	0.0	2.0	0.0	1	0	0	1
(126520041, 'hu shuiming')	3.295000000002001	2.1469200670850515	16.6	7.4	0	1	0	1
(157773358, 'chen wen')	12.902777777786	3.6948723581501866	11.2	7.0	1	0	0	1
(20231570, 'jianjun tao')	1.533333333334	0.7868635294475709	4.8	2.0	1	0	0	1
(119045251, 'xipeng xu')	8.1	0.9251156022765644	12.0	2.2	1	0	0	1
(9842412, 'wang zaihua')	8.233333333333999	0.8593442816365608	7.2	2.2	1	0	0	1
(162868743, 'li yali')	24.406666666659998	2.2614900449185225	9.4	4.6	1	0	0	1
(162868743, 'denghua zhong')	4.986666666665999	0.335491581781314	4.6	4.2	1	0	0	1
(75390827, 'feng wang')	11.24578947368	3.702429699890671	16.2	17.4	1	0	0	1
(19820366, 'dongmei zhou')	17.317508685396	3.2411864369237433	34.4	23.4	0	0	1	1
(19820366, 'wang zuoren')	16.033333333334	3.222858921953182	5.2	2.0	1	0	0	1
(173899330, 'chunpeng song')	31.163333333340002	3.0809644456901784	8.2	4.2	1	0	0	1
(19820366, 'chunming liu')	52.74242424244	4.2676716331516085	15.0	4.6	1	0	0	1
(119454577, 'zhang zhengguang')	5.444532886472	3.3477670769154515	20.8	13.4	1	0	0	1
(19820366, 'runzhi zhang')	9.37	0.6937428989999799	5.4	3.6	1	0	0	1
(76130692, 'fucheng lin')	12.0	1.4450122502248768	11.4	1.6	1	0	0	1
(76130692, 'qu shaoxing')	0.6342857142860001	0.0	17.0	3.2	0	1	0	1
(76130692, 'wang xiaoguang')	11.255036075048	1.5784445799027185	19.8	11.6	0	1	0	1
(76130692, 'baoliang chen')	13.401587301592	0.0	30.0	5.2	0	1	0	1
(159948400, 'baiou guan')	2.7236619033130003	2.5436188651807994	21.2	47.2	0	1	0	1
(76130692, 'jin yongfeng')	6.883333333333999	3.4166330872513817	17.0	3.8	1	0	0	1
(19820366, 'xiaowei zhan')	71.6575	6.942842307131167	29.8	11.2	1	0	0	1
(76130692, 'chen renpeng')	4.0000000000006	1.309056326912295	14.0	5.6	0	1	0	1
(19820366, 'fajun nan')	20.34837662337	3.123189444697044	20.4	10.2	0	1	0	1
(19820366, 'wei yujie')	8.539999999993999	0.0	20.0	6.0	0	1	0	1
(19820366, 'fang haiping')	21.896865079360005	3.1411816768288285	20.8	11.2	0	1	0	1
(20231570, 'guoping wang')	7.245	1.950005501422991	10.0	6.0	0	1	0	1
(59028903, 'geng meiyu')	3.21111111111	1.3872438552654285	9.4	4.2	1	0	0	1
(65081225, 'liu yongsheng')	22.88777777778	3.4195794996375515	40.4	16.0	0	1	0	1
(177933477, 'chen wansheng')	3.2846153846153396	1.638580372801173	27.0	16.4	0	0	1	1
(19820366, 'li yongqing')	2.433333333334	0.0	10.0	3.2	1	0	0	1
(19820366, 'guangbiao zhou')	2.395	0.0	21.0	4.6	0	1	0	1
(163340411, 'hongwu tang')	3.21	1.1670280498114116	7.4	6.8	1	0	0	1
(19820366, 'jin kuijuan')	12.923957219253998	1.8452659580345765	21.4	16.6	0	0	1	1
(20231570, 'yang yong')	1.6192307692308	0.0	17.0	9.6	0	1	0	1
(76569877, 'zhang zhijun')	22.459649122800002	2.847053122190609	26.4	19.8	1	0	0	1
(19820366, 'chen jijun')	8.079755799766	1.8946476205522769	22.4	13.6	0	1	0	1
(191208505, 'ningshao xia')	19.699837535018002	3.507819702651304	26.0	20.0	0	0	1	1
(19820366, 'shutao wang')	7.817793103447999	0.0	43.0	16.0	0	0	1	1
(20231570, 'fan wang')	7.486709197230001	4.245821109648563	21.2	13.6	0	1	0	1
(143593769, 'feng qian')	6.541274509804	0.9728131420370352	13.8	22.4	1	0	0	1
(19820366, 'jin zhangdong')	6.5330494505432	2.5521077693639893	22.4	13.2	0	1	0	1
(19820366, 'lei xiao')	13.26	1.949321508904172	14.8	1.8	1	0	0	1
(19820366, 'bai xuedong')	68.2577407886	4.0602142128737535	36.2	11.4	0	1	0	1
(21193070, 'li pei')	1.3699826489302	1.3906307016232158	9.6	14.8	0	1	0	1
(66867065, 'hebing rui')	4.4	0.4888303936348656	10.0	1.4	1	0	0	1
(126520041, 'huang yunfeng')	19.222222222229398	1.7574119312277725	13.6	6.8	0	1	0	1
(19820366, 'chen hangrong')	20.568456947997998	7.135919027330184	45.4	20.0	0	1	0	1
(19820366, 'chenglong deng')	16.4619047619	2.026828707054401	24.8	6.8	0	1	0	1
(881766915, 'hui liu')	2.1971428571434	0.0	25.0	7.2	0	0	1	1
(881766915, 'jiang xiqun')	44.54901960784	3.0875757720953176	27.6	9.4	0	1	0	1
(158842170, 'xun zhu')	4.959609579034	3.0483123014163453	23.6	28.4	0	0	1	1
(158842170, 'jian li')	1.1154135338351998	0.0	19.0	14.6	0	0	1	1
(154099455, 'liu xiangfa')	15.311515151520002	1.4879271483646637	19.2	13.4	0	1	0	1
(19820366, 'xingang zhang')	5.38	0.0	25.8	7.4	0	1	0	1
(19820366, 'tianxiang yue')	10.069393939386	1.5322520046981976	17.8	10.2	1	0	0	1
(19820366, 'deng xiangzheng')	7.953174603162	1.8140260660992216	26.2	23.4	0	0	1	1
(19820366, 'lehui lu')	86.48190476194	7.903640780178878	37.4	7.8	0	1	0	1
(157773358, 'wu zhongkai')	6.8	1.3954637990836922	14.0	1.6	1	0	0	1
(19820366, 'yu zhiqiang')	5.978030303030001	2.6463706441235884	23.8	8.8	0	1	0	1
(19820366, 'guangshe li')	22.43904401154	4.13604907181021	39.4	16.8	0	0	1	1
(196699116, 'jiaguo yu')	129.8056153642	2.630570725066166	66.8	26.0	0	0	1	1
(881766915, 'lu xiaomei')	7.554040404039999	4.175883161272081	19.0	7.2	0	1	0	1
(151075929, 'liangming liu')	9.649432789432002	1.8564581813218053	10.8	9.0	1	0	0	1
(19820366, 'benzhan zhu')	7.207142857142	3.803510878948312	13.0	8.2	1	0	0	1
(19820366, 'wang xunming')	5.7189610389702	2.7799489794449324	29.0	6.6	0	1	0	1
(37461747, 'xiaolian zhang')	12.84444444444	3.0741103781275125	23.6	7.2	0	1	0	1
(19820366, 'tianjun zhou')	13.524949990898	2.454051548958276	44.8	29.2	0	0	1	1
(87445476, 'guanjun zhang')	3.7357862529634	1.4131206806339898	16.8	26.4	0	1	0	1
(25254941, 'xia xinghui')	6.402097902102	2.9227501339581474	26.0	9.4	0	1	0	1
(196699116, 'hua lin')	11.099215686259999	0.9994578859859841	14.0	13.2	1	0	0	1
(154099455, 'liu zhanqiang')	1.9667759669592	0.0	17.0	22.0	0	0	1	1
(183067930, 'lin yi')	8.8	2.520936589936153	5.8	2.0	1	0	0	1
(19820366, 'jinhui yang')	38.72967032966	2.8734914240274483	46.4	9.6	0	1	0	1
(19820366, 'jiaojun zhu')	7.0167748917760004	1.6232431402765446	15.6	8.4	0	1	0	1
(19820366, 'fan ying')	25.29	2.520013210909518	27.6	7.2	0	1	0	1
(19820366, 'wang yanfei')	3.3822843822852	1.1476775427031505	17.8	9.0	0	1	0	1
(3923682, 'zhiyuan zhong')	30.604086337644	6.2043294786686936	52.2	19.2	0	1	0	1
(19820366, 'chenzhu wang')	17.116666666674	2.4998844534581104	17.8	3.6	1	0	0	1
(19820366, 'jiansheng liu')	1.1	0.0	13.0	5.8	0	0	1	1
(19820366, 'liu weidong')	10.244444444444	2.8648731897691033	15.2	15.6	1	0	0	1
(19820366, 'qian shengbang')	0.33333333333399995	0.921146207106884	5.0	1.6	1	0	0	1
(19820366, 'xiaoniu yang')	19.396666666666	4.081774616871384	22.2	6.0	0	1	0	1
(19820366, 'minghua xu')	7.6738095238	3.1969184469675844	28.4	8.2	0	0	1	1
(19820366, 'chen shaohua')	8.382698412704	2.2643449461713816	23.0	13.6	0	1	0	1
(19820366, 'jia yongfeng')	15.216666666680002	2.521559650162489	17.0	3.2	1	0	0	1
(19820366, 'cui guizhen')	2.1	0.4837292801842663	5.0	1.2	1	0	0	1
(126520041, 'xie zhouqing')	9.94333333334	2.859121202403589	20.6	6.0	0	1	0	1
(19820366, 'xuechu zhen')	13.006190476198	3.1918253457208086	20.0	6.4	1	0	0	1
(162868743, 'feng wei')	3.4314616755780003	0.0	29.0	15.4	0	0	1	1
(19820366, 'ming pingbing')	0.2	0.0	12.0	1.0	1	0	0	1
(126520041, 'junxian wang')	7.966666666662	3.9990440890767913	14.0	4.8	1	0	0	1
(19820366, 'hongzhi kong')	22.066666666680003	3.710480860833973	18.0	3.0	1	0	0	1
(37574244, 'li shigui')	20.18166666666	4.746721974394951	6.8	3.8	1	0	0	1
(24943067, 'yanlei yu')	14.413333333347998	5.70089732937832	28.4	4.6	0	1	0	1
(19820366, 'lin rongcheng')	6.518095238093999	4.784381326224249	14.6	4.0	1	0	0	1
(24943067, 'li xiang')	1.6815325670494	0.0	26.0	16.2	0	0	1	1
(25757504, 'jianyong qiao')	0.9	0.3371361150778437	3.4	1.2	1	0	0	1
(24943067, 'chen daoyong')	14.020000000006002	3.529672730138029	29.0	5.6	0	1	0	1
(9916479, 'ling tao')	5.6321428571428	2.9962169886211685	23.6	13.2	0	1	0	1
(126520041, 'su yucai')	4.316666666666	0.6398811750152991	12.0	3.8	1	0	0	1
(20231570, 'huazhong tang')	12.853333333334	1.3758014624785648	14.8	3.4	1	0	0	1
(183067930, 'huiying wu')	24.36	2.10245000538332	15.8	3.8	1	0	0	1
(154099455, 'longwei yin')	26.70104562106	4.107193394109315	25.0	11.0	1	0	0	1
(20231570, 'changhui zhou')	0.0	0.0	6.0	0.0	1	0	0	1
(116953780, 'jian xu')	15.401028138534002	1.346110933925209	16.2	11.0	1	0	0	1
(37461747, 'bian zhuan')	22.975470085479998	2.8607033644356696	26.6	7.8	1	0	0	1
(157773358, 'hu jianxun')	2.0	0.3513276598853136	4.2	0.4	1	0	0	1
(24185976, 'changsheng zhao')	19.809428571428	4.1148224464892635	40.4	26.0	0	0	1	1
(116953780, 'jiang mingjing')	11.515579710144	1.070607481597822	15.0	16.8	1	0	0	1
(162868743, 'he zhen')	2.41	0.6839100907570713	10.8	4.4	0	1	0	1
(52158045, 'cai wanzhi')	9.673809523816	1.5561484315766343	8.0	7.2	1	0	0	1
(113940042, 'rentao song')	2.9714285714279995	0.0	16.0	3.6	0	1	0	1
(19820366, 'jinxia wang')	10.396825396813998	1.667268167968578	23.2	5.8	0	1	0	1
(99065089, 'lei liu')	12.084832564788	4.157550738202083	38.8	33.0	0	1	0	1
(19820366, 'miao zehong')	12.7203174603	2.904812664019281	23.0	10.6	0	1	0	1
