dzFxID	dzAwardYear	dzCoAuthorsNumBF	dzCoAuthorsNumAF
12885	2004	20	36
12888	2011	26	47
12906	2009	54	53
12964	2011	134	36
12985	2001	38	79
12993	2009	25	17
1301	2009	37	95
13013	2006	21	89
13033	2008	7	42
13046	2007	7	31
13053	2008	26	83
13069	2010	0	0
13071	2012	17	156
13091	2010	24	122
13094	2011	20	23
13132	2009	67	81
13137	2006	4	0
13139	1996	12	39
13146	1999	7	32
13157	2005	8	2
13165	2001	3	0
13182	2002	75	178
13184	2000	92	171
1319	2005	0	15
132	2006	35	76
13216	2000	3	5
1322	2006	14	33
13238	2005	28	136
1327	2006	3	19
13290	1994	3	0
13326	2009	48	44
13342	2003	0	0
13344	2012	149	89
1339	2010	172	7
13393	2004	63	78
134	2011	0	32
1340	2002	41	52
13402	2005	17	13
13460	2010	18	56
1350	2005	32	32
13506	2006	21	0
13510	2012	85	247
13512	2012	21	52
13522	2006	19	36
13527	2005	7	31
13535	1998	4	30
13536	2007	252	312
13569	2012	11	22
13599	2012	14	2
13630	2006	4	7
13639	2000	0	22
13642	1999	0	19
13654	2006	0	1
13661	2006	0	5
13662	2000	10	15
13684	2009	83	185
13753	2005	22	18
13757	2002	11	8
13774	2006	12	9
13801	2012	5	12
13803	2012	65	9
13804	2006	16	0
13807	2000	104	198
13812	2012	5	15
13814	1995	0	0
13877	2001	3	2
13915	2001	4	11
13923	2011	34	34
13946	2006	47	145
13954	2004	22	114
13957	2011	89	180
14005	2002	3	6
14011	2012	6	994
14061	2007	6	24
14117	2007	9	34
14128	2000	12	3
14132	2011	64	11
14142	2009	0	17
14148	2004	3	1434
1415	2011	0	49
14153	2003	34	27
14179	2001	21	50
14188	2010	13	23
14189	2010	92	101
14217	2006	246	250
14220	2003	2	20
14222	2011	44	14
14242	2005	16	2
14251	2008	4	6
14261	2004	17	281
1428	2007	17	80
14285	2011	39	51
14298	2008	7	62
143	2004	16	30
1430	2008	43	1126
14321	2012	7	0
14325	2007	49	139
14339	2005	40	183
14413	2011	27	52
14421	2006	0	37
14430	2004	4	6
14450	2008	22	19
14468	2003	59	93
14472	2009	436	425
14499	2010	105	30
14521	2010	18	7
14527	2007	62	165
14530	2010	28	40
14533	2004	21	41
14562	2005	33	61
14571	2001	9	89
14613	2008	84	136
1462	2010	353	1129
14638	2008	26	82
14644	2006	149	148
14700	2007	8	0
14715	2004	31	18
14717	2006	32	62
14718	2012	4	0
14725	2005	13	68
14744	2003	11	15
1475	2003	22	26
14752	2003	0	9
14765	2012	44	9
14800	2005	6	17
1484	2004	5	0
14911	2012	71	71
14936	2001	2	8
14983	2001	6	31
14986	1999	30	16
15010	2011	21	46
15018	2008	2723	13147
15035	2010	6	28
15072	2009	16	64
1510	2007	5	3
15107	2011	12	34
15110	2011	217	253
15118	2007	53	106
15121	2004	11	21
15151	2008	11	105
15152	2007	0	99
15159	2007	66	10
1516	2006	5	24
15174	2010	4	0
15193	2009	23	6
15223	2008	3	35
15227	2011	29	10
15229	2010	4	12
1523	2011	31	4
15233	2009	15	40
15292	2011	27	22
15294	2008	0	15
15316	2010	58	30
15339	2010	506	1015
15348	2006	6	46
15356	2003	16	29
15363	2006	5	5
15376	2008	81	130
1540	2008	35	13
15402	2007	0	0
15405	2002	9	32
15408	2008	21	53
15455	2007	74	233
15503	2007	4	12
15510	2010	78	74
15519	2010	71	133
15523	2010	0	0
1553	2012	11	0
15531	2008	47	96
15543	2007	0	0
15577	2009	51	103
