333	1	1	6	1	7	6	8	8	10	4	6
340	4	5	11	7	13	11	9	7	13	8	7
350	2	4	6	4	3	5	2	3	0	3	5
353	0	0	4	1	4	2	8	7	6	13	11
359	1	3	1	2	9	1	1	5	2	3	8
362	1	1	2	1	7	4	11	3	10	6	15
363	0	0	0	1	3	2	2	4	7	3	6
367	0	0	3	3	3	8	14	17	9	16	10
370	20	14	26	18	19	19	24	22	12	16	12
379	4	0	1	0	0	1	0	0	0	1	3
392	4	1	0	0	0	0	0	0	0	0	0
393	0	0	0	0	0	0	1	1	4	2	1
398	0	0	0	0	0	0	0	0	0	1	2
401	8	14	8	12	10	14	10	10	16	8	12
404	2	0	0	0	0	0	0	0	0	0	0
415	6	5	6	3	2	3	5	2	1	1	0
428	0	1	1	0	0	0	2	1	5	7	7
435	0	0	0	4	5	5	1	3	2	4	4
447	1	1	0	4	3	6	6	6	8	4	8
454	19	29	34	50	51	51	60	64	61	53	73
456	9	1	0	1	7	10	10	18	14	19	18
467	1	6	1	5	9	8	2	12	10	7	3
477	5	2	2	1	2	0	2	1	0	0	0
478	1	2	0	2	1	1	1	2	12	10	14
480	1	0	1	1	0	1	2	4	3	6	3
486	0	0	0	0	0	2	4	2	1	4	2
498	2	4	6	10	12	6	6	8	6	4	2
499	10	10	10	23	18	23	51	48	41	43	44
519	3	0	2	1	2	4	1	10	6	9	9
528	1	1	3	3	3	5	2	1	0	3	4
534	13	6	6	12	5	0	0	4	5	2	2
547	0	0	1	4	1	2	3	6	1	1	2
554	3	1	0	0	0	0	0	0	0	0	1
558	1	2	3	3	4	3	0	2	3	6	2
559	1	0	0	0	0	0	0	0	0	0	0
563	0	0	0	0	0	0	0	0	0	0	0
566	2	1	2	2	1	0	2	2	3	1	3
567	3	6	9	13	9	11	10	12	12	7	22
579	13	24	32	22	18	25	42	45	30	32	44
584	0	0	1	0	0	0	2	3	3	2	5
589	0	3	2	2	0	5	4	2	1	4	0
591	0	0	2	3	1	5	4	6	13	8	14
597	0	0	0	2	0	3	3	3	2	4	4
601	1	1	2	6	4	8	2	12	12	21	6
612	0	0	0	0	0	0	0	0	0	1	1
625	26	30	28	20	38	34	18	20	6	4	6
629	2	0	0	1	2	5	3	5	11	14	14
632	5	5	3	2	5	3	8	8	8	5	8
638	0	0	0	0	0	0	0	0	1	0	0
653	0	0	2	6	12	10	28	22	24	26	26
664	0	0	0	0	0	0	0	0	0	0	0
665	3	2	2	0	3	6	2	0	0	0	0
673	1	0	3	0	0	0	0	0	0	0	1
674	0	1	1	5	1	1	1	3	5	4	6
676	16	15	27	35	27	25	36	45	51	23	22
686	6	5	3	12	3	7	5	6	5	7	8
688	0	4	4	14	9	19	4	7	9	5	1
694	1	0	2	3	1	3	5	2	2	0	1
707	2	0	1	0	1	1	0	1	3	1	1
713	1	1	3	8	8	5	6	4	5	9	11
716	5	6	6	2	2	4	13	17	29	26	22
718	10	19	11	4	0	1	0	9	7	9	16
721	0	3	5	10	3	7	5	4	6	2	1
726	1	0	2	1	1	2	2	1	0	1	0
728	2	4	2	1	4	1	3	3	5	7	12
737	1	1	2	0	1	3	1	5	9	5	14
738	5	5	1	2	4	2	3	1	3	0	0
749	0	1	0	1	1	6	0	0	3	1	3
765	1	1	0	0	0	0	0	2	2	2	3
778	0	0	3	7	2	7	0	3	4	8	4
785	1	0	4	0	7	8	8	5	3	8	18
792	0	2	0	4	5	8	8	14	15	9	8
795	4	3	1	0	1	3	1	0	0	2	0
798	0	0	0	2	0	0	0	1	0	1	0
814	2	3	4	2	5	2	7	2	5	6	5
815	1	5	1	2	0	4	3	1	5	2	5
821	1	1	0	3	1	3	0	1	1	1	3
824	1	0	1	0	1	1	0	2	0	1	1
832	2	1	2	4	3	5	2	1	5	6	8
841	1	2	1	0	1	4	1	3	1	0	1
854	1	0	0	0	0	0	0	1	0	1	2
863	1	0	0	1	1	3	2	3	2	4	9
872	1	0	9	4	3	5	9	2	6	12	3
882	6	3	12	6	1	4	8	5	4	3	5
886	2	0	0	0	0	0	0	0	0	0	0
910	7	10	3	1	3	5	9	3	3	12	7
