100521	1998	1991	1	0	0	0	0	0	0	0	0	0	0
100526	2012	2001	149	215	221	323	279	242	232	218	167	125	132
100532	2006	1991	128	131	140	144	185	241	216	193	181	275	298
100542	2006	2001	0	0	2	0	0	0	0	0	0	0	0
100543	2012	2003	27	38	32	48	29	37	64	63	46	68	89
100545	2011	2006	1	7	12	25	15	23	18	40	72	70	74
100553	2010	1997	76	156	75	138	132	123	168	198	173	164	120
100560	2011	2002	3	1	1	2	1	4	6	14	28	27	33
100567	2012	2004	42	48	63	58	74	113	122	115	96	94	109
100579	2011	2005	6	23	35	58	76	107	100	114	113	120	66
100581	2004	1994	0	0	0	0	0	0	0	0	0	0	0
100583	2012	2004	14	8	21	49	39	37	53	44	51	28	49
100608	2012	2002	1	5	2	0	0	5	3	3	4	1	3
100609	2008	2003	1	9	20	17	20	11	29	54	92	70	97
100610	2011	2006	1	3	17	55	106	128	181	234	258	279	312
100611	2012	1999	13	9	8	9	15	17	26	27	35	26	37
100619	2004	1997	2	3	4	0	3	3	0	1	1	0	2
10064	2010	2005	0	0	0	1	1	1	0	6	11	24	32
100640	2008	2003	2	7	9	11	22	17	20	51	57	98	172
100642	2011	2006	0	2	14	21	18	24	40	33	37	52	69
100658	2007	2000	0	1	0	1	2	9	6	18	19	9	15
100659	2012	2007	0	2	6	13	28	44	73	91	172	230	237
100660	2010	2004	15	28	96	337	524	761	911	1324	2054	2557	3069
100662	2011	1996	0	0	0	0	0	0	0	1	1	1	0
100669	2011	2006	0	1	5	9	5	14	24	31	43	70	84
10067	2005	1999	0	3	6	8	10	12	16	14	13	12	27
100682	2012	2002	33	82	102	101	132	152	120	188	238	326	531
100683	2005	1996	3	3	6	8	5	3	15	9	15	5	20
100684	2011	2001	26	27	27	37	26	17	36	37	24	19	20
100696	2011	2006	0	0	0	3	4	4	1	9	7	21	18
100698	2012	2007	0	1	0	1	14	51	219	590	837	886	981
100699	2010	2002	11	7	19	24	26	24	59	67	91	93	132
100704	2012	2000	0	0	0	0	0	0	0	0	0	1	1
100705	2010	2005	0	0	2	6	10	27	26	119	240	372	492
100706	2012	2007	3	5	23	35	40	66	60	55	63	81	87
100711	2012	1998	93	123	135	131	171	212	231	381	290	277	267
100715	2011	2006	0	1	3	4	4	8	6	10	12	16	15
100717	2011	2006	0	2	6	4	12	20	28	19	33	40	53
100719	2012	2006	4	9	24	41	54	58	117	115	180	204	274
