100455	1	1	1	1	2	3	3	4	5	6	9
100467	7	8	8	8	8	8	8	9	9	11	12
100471	1	2	2	4	4	6	8	9	10	11	12
100475	3	3	4	4	4	5	7	7	8	9	10
10048	0	1	1	1	1	1	1	2	2	2	2
100482	1	1	1	1	2	2	2	2	3	4	5
100487	2	2	3	4	6	8	9	10	11	11	12
100490	0	1	1	1	2	2	2	2	3	3	4
100494	1	1	1	2	2	2	2	2	3	3	4
100499	1	3	5	8	11	15	16	22	27	30	32
1005	1	1	2	4	5	5	7	10	11	13	14
100509	7	8	10	11	11	12	14	15	17	19	21
100510	0	0	1	1	1	1	1	1	1	2	2
100511	3	5	6	7	8	9	10	10	11	11	11
100513	0	0	0	0	1	2	2	3	3	3	3
100521	0	0	0	0	0	0	0	0	0	0	0
100526	9	11	12	15	18	19	21	23	23	23	24
100532	10	12	12	14	17	19	21	22	24	24	27
100542	0	0	1	1	1	1	1	1	1	1	1
100543	5	5	5	6	7	7	8	9	10	11	13
100545	1	1	2	3	3	3	3	4	6	8	9
100553	3	6	6	9	11	12	14	16	17	17	18
100560	1	1	1	1	1	2	2	3	5	7	7
100567	5	6	7	9	10	11	12	13	14	14	15
100579	1	4	4	6	8	9	10	12	15	16	16
100581	0	0	0	0	0	0	0	0	0	0	0
100583	2	3	4	6	7	8	10	10	11	11	12
100608	1	1	1	1	1	1	1	2	2	2	2
100609	1	2	2	3	3	3	4	6	7	8	8
100610	1	1	3	4	6	9	11	14	16	18	19
100611	3	3	3	3	5	5	5	5	5	6	6
100619	1	2	3	3	3	3	3	3	4	4	4
10064	0	0	0	1	1	1	1	2	3	4	4
100640	1	2	2	2	5	6	6	7	8	9	11
100642	0	1	3	3	3	4	6	7	7	7	9
100658	0	1	1	1	1	2	3	3	4	4	5
100659	0	1	2	3	4	5	6	8	11	14	16
100660	3	4	8	11	16	23	27	32	39	48	56
100662	2	2	2	2	2	2	2	2	2	2	2
100669	0	1	2	3	3	3	4	5	6	8	10
10067	0	1	2	3	3	3	3	4	4	4	5
100682	7	9	10	11	15	15	17	19	20	21	25
100683	1	1	2	3	3	3	4	4	5	5	6
100684	3	3	4	5	6	6	6	7	7	7	7
100696	0	0	0	1	1	2	2	3	3	4	5
100698	0	1	1	1	3	4	10	16	24	28	32
100699	3	4	5	6	6	7	8	10	12	13	14
100704	1	1	1	1	1	1	1	1	1	1	1
100705	0	0	1	2	3	4	5	9	14	18	23
100706	1	2	3	4	5	6	6	8	8	8	9
100711	7	9	10	12	12	14	17	19	21	22	23
100715	0	1	1	1	2	2	2	2	4	5	5
100717	0	1	1	2	3	4	5	6	6	7	9
100719	1	2	4	4	5	6	8	9	12	15	17
10072	7	8	10	11	12	12	14	15	17	19	21
100722	4	4	6	6	8	9	9	12	15	17	20
100727	2	3	3	3	4	4	5	6	6	6	7
100732	0	1	1	1	1	1	1	2	3	4	5
100735	1	2	5	8	9	9	10	10	11	11	12
100739	1	1	1	1	1	1	1	1	1	1	1
10074	3	4	4	5	6	6	7	8	8	10	12
100740	2	2	2	2	2	3	3	4	4	5	6
100754	0	0	0	0	1	2	3	4	4	4	6
10076	0	0	1	1	2	2	2	3	3	3	3
100767	1	1	1	1	3	3	3	3	3	3	4
100769	1	2	2	4	4	4	4	7	10	15	18
10077	1	1	1	1	1	1	2	2	3	3	4
100771	2	3	4	4	4	6	7	9	9	10	10
100772	0	1	1	1	2	2	4	4	6	6	6
100775	2	4	7	9	12	14	16	18	18	19	20
100778	1	1	1	1	2	2	2	2	2	3	4
100780	1	1	1	2	2	2	4	4	4	4	4
100781	1	1	1	1	1	2	2	4	4	6	9
100782	0	0	0	0	1	2	3	5	7	9	10
100788	3	3	4	4	6	7	8	10	12	14	16
100791	4	4	6	9	11	13	16	17	18	19	20
100796	6	6	6	7	8	9	9	9	9	9	9
10080	0	0	1	1	1	2	4	4	4	6	9
100807	3	4	4	5	6	7	8	10	10	12	15
100808	1	1	2	3	3	6	7	8	11	12	16
10083	0	0	0	1	1	1	1	1	1	2	2
100833	2	2	2	2	2	2	2	2	2	2	3
10084	1	1	2	3	4	5	5	6	7	8	8
100847	1	2	2	2	3	5	5	8	9	9	9
100853	9	9	10	11	11	11	11	12	13	14	16
100866	0	0	0	1	1	1	1	1	1	1	1
100874	0	1	1	1	1	3	5	6	8	10	12
10088	0	0	0	1	2	4	5	7	9	12	13
100882	5	8	10	13	18	22	25	28	32	36	38
100884	0	1	1	2	2	3	6	6	8	9	10
100891	1	2	2	3	7	8	11	14	17	21	23
100895	0	0	1	1	1	2	2	3	3	3	3
100896	0	0	0	0	0	0	0	0	0	0	0
100897	13	15	15	16	17	17	17	17	18	23	29
100900	2	3	3	5	5	7	10	13	15	17	21
100908	0	1	1	1	1	1	1	3	3	4	6
100914	1	1	2	2	2	2	3	3	6	8	11
100915	1	1	1	1	1	2	2	3	4	6	6
100926	7	9	11	13	15	16	18	20	22	23	26
100929	2	2	4	5	5	5	5	7	8	9	10
100943	0	1	3	3	4	5	6	6	10	12	15
100948	0	1	1	1	1	1	1	1	1	1	1
100960	3	4	6	7	11	13	15	17	19	20	22
100962	4	6	6	7	7	7	7	7	7	7	7
100966	1	1	1	1	1	2	4	4	5	7	8
100971	1	1	2	4	5	6	9	12	17	18	23
100972	1	1	1	1	1	1	1	1	1	1	1
